omega,beta0,E,episode,beta,average R^T
1,0,3000,11493,0,-104.81391906738281
1,0,3000,11524,0,-104.6549301147461
1,0,3000,11533,0,-104.63996887207031
1,0,3000,11550,0,-104.34922790527344
1,0,3000,11558,0,-103.55122375488281
1,0,3000,11567,0,-103.87913513183594
1,0,3000,11598,0,-105.0782699584961
1,0,3000,11637,0,-105.37747955322266
1,0,3000,11649,0,-105.71419525146484
1,0,3000,11672,0,-104.8283462524414
1,0,3000,11686,0,-105.61315155029297
1,0,3000,11688,0,-105.6086654663086
1,0,3000,11760,0,-103.75392150878906
1,0,3000,11874,0,-104.3271484375
1,0,3000,11949,0,-105.48756408691406
1,0,3000,11970,0,-105.74976348876953
1,0,3000,11975,0,-105.68348693847656
1,0,3000,11989,0,-105.70905303955078
1,0,3000,12004,0,-104.6903076171875
1,0,3000,12011,0,-104.6099624633789
1,0,3000,12030,0,-103.90070343017578
1,0,3000,12042,0,-103.82771301269531
1,0,3000,12139,0,-103.37554931640625
1,0,3000,12165,0,-104.72557830810547
1,0,3000,12169,0,-104.87745666503906
1,0,3000,12185,0,-104.62767791748047
1,0,3000,12227,0,-103.58576965332031
1,0,3000,12291,0,-103.7247085571289
1,0,3000,12294,0,-103.71067810058594
1,0,3000,12310,0,-105.12415313720703
1,0,3000,12397,0,-105.1258316040039
1,0,3000,12406,0,-105.00358581542969
1,0,3000,12437,0,-105.129638671875
1,0,3000,12459,0,-104.13871002197266
1,0,3000,12554,0,-105.09695434570312
1,0,3000,12626,0,-104.89448547363281
1,0,3000,12672,0,-104.43531799316406
1,0,3000,12700,0,-104.3249740600586
1,0,3000,12759,0,-104.07766723632812
1,0,3000,12775,0,-104.17781066894531
1,0,3000,12806,0,-104.05200958251953
1,0,3000,12835,0,-104.08609008789062
1,0,3000,12865,0,-105.54946899414062
1,0,3000,12878,0,-105.03861236572266
1,0,3000,12897,0,-104.54783630371094
1,0,3000,12940,0,-104.4002914428711
1,0,3000,12960,0,-104.21129608154297
1,0,3000,13018,0,-103.9651107788086
1,0,3000,13035,0,-105.16743469238281
1,0,3000,13062,0,-105.33639526367188
1,0,3000,13083,0,-104.38091278076172
1,0,3000,13095,0,-104.19129180908203
1,0,3000,13110,0,-104.2366943359375
1,0,3000,13114,0,-104.084228515625
1,0,3000,13131,0,-103.36489868164062
1,0,3000,13167,0,-104.23341369628906
1,0,3000,13207,0,-104.03453826904297
1,0,3000,13208,0,-103.8517074584961
1,0,3000,13240,0,-105.2861099243164
1,0,3000,13314,0,-105.3827133178711
1,0,3000,13350,0,-103.61276245117188
1,0,3000,13403,0,-103.9192886352539
1,0,3000,13407,0,-104.10338592529297
1,0,3000,13427,0,-104.87488555908203
1,0,3000,13476,0,-105.92900848388672
1,0,3000,13505,0,-104.76852416992188
1,0,3000,13547,0,-104.57391357421875
1,0,3000,13598,0,-104.83148193359375
1,0,3000,13613,0,-104.56753540039062
1,0,3000,13621,0,-104.17719268798828
1,0,3000,13627,0,-103.9612045288086
1,0,3000,13680,0,-105.46028900146484
1,0,3000,13683,0,-105.09194946289062
1,0,3000,13723,0,-104.25040435791016
1,0,3000,13748,0,-103.80412292480469
1,0,3000,13777,0,-104.27979278564453
1,0,3000,13811,0,-104.59278869628906
1,0,3000,13846,0,-103.39876556396484
1,0,3000,13869,0,-103.98493957519531
1,0,3000,13885,0,-104.8101577758789
1,0,3000,13938,0,-103.98538970947266
1,0,3000,13958,0,-104.98087310791016
1,0,3000,13961,0,-104.97256469726562
1,0,3000,13971,0,-104.23872375488281
1,0,3000,13977,0,-104.44390106201172
1,0,3000,13999,0,-102.9118423461914
1,0,3000,14081,0,-105.01646423339844
1,0,3000,14222,0,-103.78804016113281
1,0,3000,14288,0,-104.87844848632812
1,0,3000,14289,0,-104.84285736083984
1,0,3000,14295,0,-105.03849792480469
1,0,3000,14304,0,-105.35453033447266
1,0,3000,14321,0,-104.03477478027344
1,0,3000,14333,0,-104.52330780029297
1,0,3000,14339,0,-103.95150756835938
1,0,3000,14398,0,-106.47570037841797
1,0,3000,14448,0,-104.36652374267578
1,0,3000,14495,0,-104.70577239990234
1,0,3000,14531,0,-105.86941528320312
1,0,3000,14555,0,-105.57363891601562
1,0,3000,14558,0,-105.7414321899414
1,0,3000,14633,0,-104.46559143066406
1,0,3000,14639,0,-104.50609588623047
1,0,3000,14669,0,-105.18646240234375
1,0,3000,14678,0,-105.50321197509766
1,0,3000,14682,0,-105.38472747802734
1,0,3000,14688,0,-105.47029876708984
1,0,3000,14747,0,-104.10981750488281
1,0,3000,14780,0,-104.34362030029297
1,0,3000,14781,0,-104.53585052490234
1,0,3000,14789,0,-104.48117065429688
1,0,3000,14793,0,-103.92778778076172
1,0,3000,14810,0,-104.57093048095703
1,0,3000,14874,0,-105.10206604003906
1,0,3000,14893,0,-105.98705291748047
1,0,3000,14926,0,-105.49138641357422
1,0,3000,14927,0,-105.51993560791016
1,0,3000,14951,0,-104.61991882324219
1,0,3000,15028,0,-104.73818969726562
1,0,3000,15091,0,-104.77076721191406
1,0,3000,15133,0,-105.27239227294922
1,0,3000,15137,0,-105.3170394897461
1,0,3000,15181,0,-104.43327331542969
1,0,3000,15200,0,-104.062255859375
1,0,3000,15267,0,-104.17977142333984
1,0,3000,15325,0,-103.75462341308594
