alpha,beta0,lambda,Episode,beta,Average over RMS of Value Estimates
0.1,1.0,0.8,1,1.0,0.5433401088966083
0.1,1.0,0.8,2,0.8,0.5254407172569264
0.1,1.0,0.8,3,0.6400000000000001,0.5116830837856872
0.1,1.0,0.8,4,0.5120000000000001,0.49795501656485586
0.1,1.0,0.8,5,0.4096000000000001,0.48441858974311286
0.1,1.0,0.8,6,0.3276800000000001,0.47312287244149653
0.1,1.0,0.8,7,0.2621440000000001,0.4630666308876627
0.1,1.0,0.8,8,0.20971520000000007,0.4529806396665936
0.1,1.0,0.8,9,0.1677721600000001,0.4439282952962931
0.1,1.0,0.8,10,0.13421772800000006,0.4358363046135403
0.1,1.0,0.8,11,0.10737418240000006,0.42854093506582197
0.1,1.0,0.8,12,0.08589934592000005,0.42079525953181857
0.1,1.0,0.8,13,0.06871947673600004,0.41241403650324593
0.1,1.0,0.8,14,0.054975581388800036,0.4057822493079317
0.1,1.0,0.8,15,0.043980465111040035,0.3983459067797682
0.1,1.0,0.8,16,0.03518437208883203,0.3927496078778454
0.1,1.0,0.8,17,0.028147497671065624,0.38698601596375065
0.1,1.0,0.8,18,0.022517998136852502,0.38136093259435433
0.1,1.0,0.8,19,0.018014398509482003,0.3762813274204422
0.1,1.0,0.8,20,0.014411518807585602,0.3710952465713435
0.1,1.0,0.8,21,0.011529215046068483,0.36505254232633016
0.1,1.0,0.8,22,0.009223372036854787,0.35954255630568743
0.1,1.0,0.8,23,0.00737869762948383,0.3532917388225485
0.1,1.0,0.8,24,0.005902958103587064,0.3484299765226747
0.1,1.0,0.8,25,0.004722366482869652,0.3427398120715545
0.1,1.0,0.8,26,0.0037778931862957215,0.3373888881898052
0.1,1.0,0.8,27,0.0030223145490365774,0.33279059705157216
0.1,1.0,0.8,28,0.002417851639229262,0.3270050735118896
0.1,1.0,0.8,29,0.0019342813113834097,0.3224833183094723
0.1,1.0,0.8,30,0.0015474250491067279,0.31782098529724306
0.1,1.0,0.8,31,0.0012379400392853823,0.3145318011484129
0.1,1.0,0.8,32,0.0009903520314283058,0.31060249950173563
0.1,1.0,0.8,33,0.0007922816251426448,0.3052966226957489
0.1,1.0,0.8,34,0.0006338253001141158,0.3009759488692813
0.1,1.0,0.8,35,0.0005070602400912927,0.29533472935537236
0.1,1.0,0.8,36,0.00040564819207303417,0.2909568937642495
0.1,1.0,0.8,37,0.00032451855365842736,0.28522160726023904
0.1,1.0,0.8,38,0.00025961484292674194,0.2808424894131194
0.1,1.0,0.8,39,0.00020769187434139353,0.27604891055011926
0.1,1.0,0.8,40,0.00016615349947311485,0.2717012216524569
0.1,1.0,0.8,41,0.00013292279957849188,0.26747616510022815
0.1,1.0,0.8,42,0.00010633823966279351,0.2641345940157062
0.1,1.0,0.8,43,8.507059173023481e-05,0.26070252078303346
0.1,1.0,0.8,44,6.805647338418786e-05,0.2569058275063368
0.1,1.0,0.8,45,5.444517870735029e-05,0.25273032254961963
0.1,1.0,0.8,46,4.355614296588023e-05,0.2485910954322418
0.1,1.0,0.8,47,3.484491437270419e-05,0.24528805882818414
0.1,1.0,0.8,48,2.7875931498163353e-05,0.24180823866004814
0.1,1.0,0.8,49,2.2300745198530684e-05,0.23782969490176611
0.1,1.0,0.8,50,1.7840596158824548e-05,0.23378243925244532
0.1,1.0,0.8,51,1.4272476927059638e-05,0.23098468669364206
0.1,1.0,0.8,52,1.1417981541647711e-05,0.22723753487981932
0.1,1.0,0.8,53,9.13438523331817e-06,0.22325609612496572
0.1,1.0,0.8,54,7.307508186654536e-06,0.22050297987737028
0.1,1.0,0.8,55,5.846006549323629e-06,0.217907580801275
0.1,1.0,0.8,56,4.676805239458904e-06,0.2147115974043941
0.1,1.0,0.8,57,3.741444191567123e-06,0.2117505793818968
0.1,1.0,0.8,58,2.9931553532536988e-06,0.20819840171279794
0.1,1.0,0.8,59,2.394524282602959e-06,0.20480780076678975
0.1,1.0,0.8,60,1.9156194260823675e-06,0.20147499015967682
0.1,1.0,0.8,61,1.532495540865894e-06,0.1976957983193946
0.1,1.0,0.8,62,1.2259964326927152e-06,0.19367482704580485
0.1,1.0,0.8,63,9.807971461541723e-07,0.19036593063943724
0.1,1.0,0.8,64,7.846377169233378e-07,0.18787492624676966
0.1,1.0,0.8,65,6.277101735386703e-07,0.18578394981262128
0.1,1.0,0.8,66,5.021681388309362e-07,0.1828198589838374
0.1,1.0,0.8,67,4.0173451106474904e-07,0.1799516699630059
0.1,1.0,0.8,68,3.2138760885179925e-07,0.1774705469869087
0.1,1.0,0.8,69,2.571100870814394e-07,0.17466057733493712
0.1,1.0,0.8,70,2.0568806966515154e-07,0.17099625118549408
0.1,1.0,0.8,71,1.6455045573212124e-07,0.16814054081518864
0.1,1.0,0.8,72,1.31640364585697e-07,0.1660626724472846
0.1,1.0,0.8,73,1.053122916685576e-07,0.16361302007146572
0.1,1.0,0.8,74,8.424983333484609e-08,0.16153487791173193
0.1,1.0,0.8,75,6.739986666787687e-08,0.16049145586418453
0.1,1.0,0.8,76,5.39198933343015e-08,0.15800709927247153
0.1,1.0,0.8,77,4.3135914667441206e-08,0.154949510622692
0.1,1.0,0.8,78,3.450873173395297e-08,0.15301496092055095
0.1,1.0,0.8,79,2.7606985387162374e-08,0.1502504826322878
0.1,1.0,0.8,80,2.20855883097299e-08,0.149022983940997
0.1,1.0,0.8,81,1.7668470647783922e-08,0.14693445976768024
0.1,1.0,0.8,82,1.4134776518227139e-08,0.14638436285177436
0.1,1.0,0.8,83,1.130782121458171e-08,0.14457851158997856
0.1,1.0,0.8,84,9.04625697166537e-09,0.14311107276395035
0.1,1.0,0.8,85,7.2370055773322956e-09,0.14122977066599207
0.1,1.0,0.8,86,5.789604461865837e-09,0.13939181436637924
0.1,1.0,0.8,87,4.63168356949267e-09,0.13678503641813394
0.1,1.0,0.8,88,3.705346855594136e-09,0.1355604247092052
0.1,1.0,0.8,89,2.964277484475309e-09,0.13213124478991037
0.1,1.0,0.8,90,2.3714219875802474e-09,0.1304293178962999
0.1,1.0,0.8,91,1.897137590064198e-09,0.12823988409692005
0.1,1.0,0.8,92,1.5177100720513585e-09,0.1266944640229335
0.1,1.0,0.8,93,1.2141680576410869e-09,0.125702520002846
0.1,1.0,0.8,94,9.713344461128696e-10,0.12413799612375488
0.1,1.0,0.8,95,7.770675568902957e-10,0.12322956509828971
0.1,1.0,0.8,96,6.216540455122366e-10,0.12130717665507547
0.1,1.0,0.8,97,4.973232364097893e-10,0.12011652611910505
0.1,1.0,0.8,98,3.9785858912783145e-10,0.11864158806041726
0.1,1.0,0.8,99,3.182868713022652e-10,0.11689890005672413
0.1,1.0,0.8,100,2.5462949704181216e-10,0.11668390974593564
0.1,1.0,0.8,101,2.0370359763344975e-10,0.1151470072648721
0.1,1.0,0.8,102,1.629628781067598e-10,0.11346019861526535
0.1,1.0,0.8,103,1.3037030248540785e-10,0.11113392814101741
0.1,1.0,0.8,104,1.0429624198832628e-10,0.10914392657144666
0.1,1.0,0.8,105,8.343699359066104e-11,0.1080093255412044
0.1,1.0,0.8,106,6.674959487252883e-11,0.10608286330898416
0.1,1.0,0.8,107,5.3399675898023066e-11,0.1057724616352408
0.1,1.0,0.8,108,4.2719740718418454e-11,0.10397704386849435
0.1,1.0,0.8,109,3.417579257473476e-11,0.10302407085781747
0.1,1.0,0.8,110,2.7340634059787814e-11,0.10179763494011657
0.1,1.0,0.8,111,2.1872507247830253e-11,0.10014489755889094
0.1,1.0,0.8,112,1.7498005798264204e-11,0.09918808942512912
0.1,1.0,0.8,113,1.3998404638611363e-11,0.09820780789516947
0.1,1.0,0.8,114,1.1198723710889092e-11,0.09767078072102647
0.1,1.0,0.8,115,8.958978968711274e-12,0.09705969864537586
0.1,1.0,0.8,116,7.167183174969019e-12,0.09587095335858044
0.1,1.0,0.8,117,5.733746539975216e-12,0.09469353533813972
0.1,1.0,0.8,118,4.586997231980173e-12,0.09384055576652926
0.1,1.0,0.8,119,3.669597785584139e-12,0.09421427027154472
0.1,1.0,0.8,120,2.935678228467311e-12,0.0918218889359043
0.1,1.0,0.8,121,2.348542582773849e-12,0.0913100022300855
0.1,1.0,0.8,122,1.878834066219079e-12,0.08990459807509936
0.1,1.0,0.8,123,1.5030672529752635e-12,0.08947243871967142
0.1,1.0,0.8,124,1.2024538023802108e-12,0.08798191801542034
0.1,1.0,0.8,125,9.619630419041687e-13,0.08590650645114278
0.1,1.0,0.8,126,7.69570433523335e-13,0.08553107705412374
0.1,1.0,0.8,127,6.15656346818668e-13,0.08511055903892675
0.1,1.0,0.8,128,4.925250774549344e-13,0.08422527532630376
0.1,1.0,0.8,129,3.940200619639476e-13,0.08355531753684628
0.1,1.0,0.8,130,3.152160495711581e-13,0.08258258653166385
0.1,1.0,0.8,131,2.521728396569265e-13,0.08150789313975604
0.1,1.0,0.8,132,2.017382717255412e-13,0.08146720211625656
0.1,1.0,0.8,133,1.6139061738043297e-13,0.0798212111223022
0.1,1.0,0.8,134,1.2911249390434637e-13,0.07869306383969332
0.1,1.0,0.8,135,1.0328999512347712e-13,0.07753326746130669
0.1,1.0,0.8,136,8.26319960987817e-14,0.0763673017866896
0.1,1.0,0.8,137,6.610559687902536e-14,0.0750974080597371
0.1,1.0,0.8,138,5.288447750322029e-14,0.07451412623334115
0.1,1.0,0.8,139,4.2307582002576235e-14,0.0740886837830985
0.1,1.0,0.8,140,3.384606560206099e-14,0.0730369870294706
0.1,1.0,0.8,141,2.7076852481648794e-14,0.07228795935361182
0.1,1.0,0.8,142,2.1661481985319034e-14,0.07194514465693955
0.1,1.0,0.8,143,1.732918558825523e-14,0.07128527526127698
0.1,1.0,0.8,144,1.3863348470604184e-14,0.07070006410359922
0.1,1.0,0.8,145,1.1090678776483349e-14,0.06973517522890198
0.1,1.0,0.8,146,8.87254302118668e-15,0.06905629344880729
0.1,1.0,0.8,147,7.098034416949344e-15,0.06765615837988324
0.1,1.0,0.8,148,5.678427533559475e-15,0.06617119144824013
0.1,1.0,0.8,149,4.542742026847581e-15,0.06530623691382069
0.1,1.0,0.8,150,3.634193621478064e-15,0.0657014681695549
0.1,1.0,0.8,151,2.9073548971824516e-15,0.0652937273245841
0.1,1.0,0.8,152,2.3258839177459616e-15,0.0649012210589514
0.1,1.0,0.8,153,1.860707134196769e-15,0.06346666648147808
0.1,1.0,0.8,154,1.4885657073574156e-15,0.06313590647141376
0.1,1.0,0.8,155,1.1908525658859326e-15,0.0629586100264274
0.1,1.0,0.8,156,9.52682052708746e-16,0.06243539934407753
0.1,1.0,0.8,157,7.621456421669969e-16,0.06156568959963371
0.1,1.0,0.8,158,6.097165137335975e-16,0.06055179379449742
0.1,1.0,0.8,159,4.877732109868781e-16,0.06076885126563985
0.1,1.0,0.8,160,3.902185687895025e-16,0.0607730275001099
0.1,1.0,0.8,161,3.12174855031602e-16,0.06100404869149264
0.1,1.0,0.8,162,2.497398840252816e-16,0.061429312276779564
0.1,1.0,0.8,163,1.997919072202253e-16,0.061380315104323034
0.1,1.0,0.8,164,1.5983352577618024e-16,0.061157504394681726
0.1,1.0,0.8,165,1.278668206209442e-16,0.060876175973897266
0.1,1.0,0.8,166,1.0229345649675537e-16,0.06094876057659465
0.1,1.0,0.8,167,8.18347651974043e-17,0.06133490069024258
0.1,1.0,0.8,168,6.546781215792344e-17,0.06130203790789715
0.1,1.0,0.8,169,5.237424972633876e-17,0.060362257081104945
0.1,1.0,0.8,170,4.189939978107101e-17,0.059164555707981695
0.1,1.0,0.8,171,3.3519519824856807e-17,0.05903641389682802
0.1,1.0,0.8,172,2.681561585988545e-17,0.05972718527711124
0.1,1.0,0.8,173,2.145249268790836e-17,0.05953055723280838
0.1,1.0,0.8,174,1.7161994150326688e-17,0.05913654892696104
0.1,1.0,0.8,175,1.3729595320261352e-17,0.05835745490414155
0.1,1.0,0.8,176,1.0983676256209082e-17,0.05752294486905374
0.1,1.0,0.8,177,8.786941004967267e-18,0.05760512641932574
0.1,1.0,0.8,178,7.029552803973813e-18,0.0572295834258347
0.1,1.0,0.8,179,5.623642243179051e-18,0.05774615454843768
0.1,1.0,0.8,180,4.498913794543241e-18,0.05702883174328642
0.1,1.0,0.8,181,3.5991310356345934e-18,0.05685813559507274
0.1,1.0,0.8,182,2.8793048285076747e-18,0.05603484561232537
0.1,1.0,0.8,183,2.3034438628061398e-18,0.05675075306622026
0.1,1.0,0.8,184,1.842755090244912e-18,0.05632216889823856
0.1,1.0,0.8,185,1.4742040721959297e-18,0.05551310210886747
0.1,1.0,0.8,186,1.1793632577567438e-18,0.05533499987801977
0.1,1.0,0.8,187,9.43490606205395e-19,0.05529280039694843
0.1,1.0,0.8,188,7.547924849643161e-19,0.05562079082147494
0.1,1.0,0.8,189,6.038339879714529e-19,0.05540863866393482
0.1,1.0,0.8,190,4.830671903771623e-19,0.05474630959634614
0.1,1.0,0.8,191,3.8645375230172993e-19,0.05423739805030871
0.1,1.0,0.8,192,3.0916300184138395e-19,0.05332631450988919
0.1,1.0,0.8,193,2.4733040147310716e-19,0.05306844571806915
0.1,1.0,0.8,194,1.9786432117848576e-19,0.05281866121809207
0.1,1.0,0.8,195,1.5829145694278861e-19,0.053535595119978845
0.1,1.0,0.8,196,1.2663316555423088e-19,0.05377892475985051
0.1,1.0,0.8,197,1.0130653244338472e-19,0.052851938069172884
0.1,1.0,0.8,198,8.104522595470778e-20,0.05171097375993248
0.1,1.0,0.8,199,6.483618076376623e-20,0.051867458673194256
0.1,1.0,0.8,200,5.186894461101298e-20,0.05148885226397018
0.1,1.0,0.8,201,4.149515568881039e-20,0.05113461769269481
0.1,1.0,0.8,202,3.3196124551048315e-20,0.05062979812874323
0.1,1.0,0.8,203,2.6556899640838654e-20,0.050483482005403674
0.1,1.0,0.8,204,2.1245519712670922e-20,0.04991760083645161
0.1,1.0,0.8,205,1.699641577013674e-20,0.049453466473322376
0.1,1.0,0.8,206,1.359713261610939e-20,0.049033305892866925
0.1,1.0,0.8,207,1.0877706092887514e-20,0.049432116055091235
0.1,1.0,0.8,208,8.702164874310012e-21,0.049803447442198674
0.1,1.0,0.8,209,6.96173189944801e-21,0.04928367192236677
0.1,1.0,0.8,210,5.569385519558409e-21,0.04935352233386412
0.1,1.0,0.8,211,4.455508415646727e-21,0.04890485729851043
