omega,beta0,E,episode,beta,average R^T
10,0,4000,4407,0,-562.1530151367188
10,0,4000,4411,0,-563.3343505859375
10,0,4000,4412,0,-559.5491333007812
10,0,4000,4431,0,-582.7908325195312
10,0,4000,4432,0,-583.3304443359375
10,0,4000,4434,0,-582.568115234375
10,0,4000,4440,0,-579.2147216796875
10,0,4000,4470,0,-569.74658203125
10,0,4000,4476,0,-552.684326171875
10,0,4000,4480,0,-552.2005004882812
10,0,4000,4483,0,-556.5105590820312
10,0,4000,4491,0,-568.4273071289062
10,0,4000,4493,0,-567.5703125
10,0,4000,4510,0,-593.1183471679688
10,0,4000,4511,0,-591.6569213867188
10,0,4000,4530,0,-596.2268676757812
10,0,4000,4531,0,-607.8193969726562
10,0,4000,4534,0,-605.0403442382812
10,0,4000,4543,0,-627.6365356445312
10,0,4000,4551,0,-583.5115966796875
10,0,4000,4553,0,-584.1549072265625
10,0,4000,4554,0,-584.91015625
10,0,4000,4569,0,-599.0808715820312
10,0,4000,4579,0,-562.3349609375
10,0,4000,4582,0,-553.276123046875
10,0,4000,4593,0,-534.3612670898438
10,0,4000,4596,0,-537.496826171875
10,0,4000,4598,0,-540.734619140625
10,0,4000,4600,0,-549.2001342773438
10,0,4000,4612,0,-561.7279663085938
10,0,4000,4629,0,-590.3457641601562
10,0,4000,4644,0,-584.0530395507812
10,0,4000,4650,0,-571.1048583984375
10,0,4000,4657,0,-595.240234375
10,0,4000,4665,0,-606.2667846679688
10,0,4000,4669,0,-608.6488037109375
10,0,4000,4676,0,-594.2034301757812
10,0,4000,4677,0,-593.2444458007812
10,0,4000,4678,0,-593.335205078125
10,0,4000,4688,0,-599.5961303710938
10,0,4000,4714,0,-546.799072265625
10,0,4000,4719,0,-554.7965698242188
10,0,4000,4735,0,-546.9645385742188
10,0,4000,4740,0,-555.8466796875
10,0,4000,4746,0,-557.4315795898438
10,0,4000,4750,0,-547.3931884765625
10,0,4000,4751,0,-537.5227661132812
10,0,4000,4759,0,-528.23486328125
10,0,4000,4762,0,-529.4239501953125
10,0,4000,4763,0,-529.645263671875
10,0,4000,4765,0,-528.152099609375
10,0,4000,4768,0,-518.7518920898438
10,0,4000,4777,0,-529.1589965820312
10,0,4000,4781,0,-549.9841918945312
10,0,4000,4785,0,-553.261962890625
10,0,4000,4788,0,-553.9301147460938
10,0,4000,4789,0,-551.71337890625
10,0,4000,4795,0,-552.7986450195312
10,0,4000,4801,0,-563.1675415039062
10,0,4000,4803,0,-560.7833862304688
10,0,4000,4806,0,-561.9849243164062
10,0,4000,4841,0,-539.19482421875
10,0,4000,4853,0,-552.8236694335938
10,0,4000,4872,0,-602.1941528320312
10,0,4000,4874,0,-594.098388671875
10,0,4000,4890,0,-581.1655883789062
10,0,4000,4893,0,-575.8744506835938
10,0,4000,4895,0,-573.9887084960938
10,0,4000,4896,0,-575.0848999023438
10,0,4000,4915,0,-505.56024169921875
10,0,4000,4939,0,-503.0427551269531
10,0,4000,4942,0,-504.98284912109375
10,0,4000,4955,0,-501.60858154296875
10,0,4000,4963,0,-519.3377685546875
10,0,4000,4972,0,-516.2593994140625
10,0,4000,4975,0,-512.3685913085938
10,0,4000,4977,0,-510.8422546386719
10,0,4000,4978,0,-509.9410095214844
10,0,4000,4992,0,-556.173583984375
10,0,4000,5000,0,-557.831787109375
10,0,4000,5022,0,-562.43603515625
10,0,4000,5028,0,-566.2850952148438
10,0,4000,5031,0,-570.0148315429688
10,0,4000,5038,0,-544.3361206054688
10,0,4000,5051,0,-521.8394165039062
10,0,4000,5053,0,-513.8759765625
10,0,4000,5054,0,-513.8777465820312
10,0,4000,5061,0,-516.6309204101562
10,0,4000,5079,0,-523.7398071289062
10,0,4000,5095,0,-529.9299926757812
10,0,4000,5102,0,-523.2670288085938
10,0,4000,5107,0,-533.69140625
10,0,4000,5108,0,-537.5347900390625
10,0,4000,5114,0,-537.7530517578125
10,0,4000,5127,0,-522.8088989257812
10,0,4000,5129,0,-523.3703002929688
10,0,4000,5135,0,-526.3929443359375
10,0,4000,5161,0,-522.2721557617188
10,0,4000,5166,0,-517.883056640625
10,0,4000,5179,0,-529.9205932617188
10,0,4000,5183,0,-528.239990234375
10,0,4000,5201,0,-518.74951171875
10,0,4000,5209,0,-536.7584228515625
10,0,4000,5232,0,-545.2613525390625
10,0,4000,5235,0,-545.794921875
10,0,4000,5236,0,-545.0401000976562
10,0,4000,5240,0,-546.068359375
10,0,4000,5241,0,-545.63330078125
10,0,4000,5245,0,-543.8150024414062
10,0,4000,5267,0,-525.0185546875
10,0,4000,5290,0,-508.0275573730469
10,0,4000,5303,0,-493.6828918457031
10,0,4000,5319,0,-505.5779724121094
10,0,4000,5330,0,-549.4888305664062
10,0,4000,5346,0,-568.6882934570312
10,0,4000,5349,0,-572.5531005859375
10,0,4000,5360,0,-569.4728393554688
10,0,4000,5361,0,-570.5943603515625
10,0,4000,5364,0,-570.643798828125
10,0,4000,5381,0,-509.065185546875
10,0,4000,5385,0,-504.544677734375
10,0,4000,5405,0,-526.614013671875
10,0,4000,5407,0,-526.0450439453125
10,0,4000,5421,0,-544.4609375
10,0,4000,5426,0,-545.2316284179688
10,0,4000,5440,0,-525.3842163085938
10,0,4000,5441,0,-525.0271606445312
10,0,4000,5443,0,-521.735107421875
10,0,4000,5448,0,-518.9926147460938
10,0,4000,5476,0,-497.0179748535156
10,0,4000,5485,0,-504.3240966796875
