time/time_elapsed,time/fps,train/learning_rate,time/total_timesteps,train/entropy_loss,train/explained_variance,train/std,train/n_updates,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_loss,train/value_loss
138,499,0.0007,69000,-4.2066688537597665,0.0,0.9896385669708252,13799,13800,-30827.08284172,100.0,-3237.792236328125,704394.875
139,499,0.0007,69500,-4.201345443725587,-1.1920928955078125e-07,0.9882823824882508,13899,13900,-30825.18818971,100.0,-2452.628173828125,549110.1875
140,499,0.0007,70000,-4.2309556007385245,1.1920928955078125e-07,0.9968476295471193,13999,14000,-30807.76498493,100.0,-3483.319580078125,925027.125
141,499,0.0007,70500,-4.240858078002931,1.1920928955078125e-07,0.9998859167099,14099,14100,-30748.04412983,100.0,-2830.068359375,572528.625
142,499,0.0007,71000,-4.241196632385254,0.0,1.0002065896987915,14199,14200,-30769.32024137,100.0,-3180.490966796875,776560.8125
143,499,0.0007,71500,-4.2350687980651855,0.0,0.99766206741333,14299,14300,-30747.68199818,100.0,-4337.14404296875,869698.6875
144,499,0.0007,72000,-4.2511630058288565,0.0,1.003803253173828,14399,14400,-30798.87480116,100.0,-4049.989013671875,738638.625
145,499,0.0007,72500,-4.255157470703125,-2.384185791015625e-07,1.0059380531311035,14499,14500,-30805.846104820004,100.0,-2534.380615234375,501308.40625
146,499,0.0007,73000,-4.266456127166748,-1.1920928955078125e-07,1.0084913969039917,14599,14600,-30838.31637081,100.0,-3724.784423828125,654500.75
147,499,0.0007,73500,-4.259932994842528,-1.1920928955078125e-07,1.0065253973007202,14699,14700,-30835.523298260006,100.0,-3307.360595703125,730402.9375
148,499,0.0007,74000,-4.260708808898927,5.960464477539063e-08,1.005350112915039,14799,14800,-30821.21740377,100.0,-3779.946533203125,831318.9375
149,499,0.0007,74500,-4.254729747772217,-1.1920928955078125e-07,1.0034049749374392,14899,14900,-30808.17922981,100.0,-3606.736328125,959414.125
150,499,0.0007,75000,-4.255730628967285,5.960464477539063e-08,1.0041236877441406,14999,15000,-30751.11805925,100.0,-2706.260498046875,470907.65625
151,499,0.0007,75500,-4.2454891204833975,0.0,1.0004919767379759,15099,15100,-30789.61763027,100.0,-3295.79150390625,730557.4375
152,499,0.0007,76000,-4.2707557678222665,0.0,1.0075953006744385,15199,15200,-30921.758229619994,100.0,-4817.0380859375,817874.6875
153,499,0.0007,76500,-4.277030944824219,0.0,1.0107321739196775,15299,15300,-30957.454174940005,100.0,-4060.43359375,1070135.875
154,499,0.0007,77000,-4.301534175872804,0.0,1.0193662643432615,15399,15400,-31077.34289161,100.0,-2813.702392578125,645691.6875
155,499,0.0007,77500,-4.296624183654785,0.0,1.0167773962020874,15499,15500,-31244.90395351,100.0,-3220.962646484375,585582.0
156,499,0.0007,78000,-4.303807258605957,-1.1920928955078125e-07,1.0196965932846072,15599,15600,-31361.76667236,100.0,-4780.93505859375,1332265.25
157,499,0.0007,78500,-4.336541175842285,0.0,1.0317118167877195,15699,15700,-31471.09746304,100.0,-3978.081298828125,1182033.375
158,499,0.0007,79000,-4.3678932189941415,-2.384185791015625e-07,1.0426228046417236,15799,15800,-31582.392917110006,100.0,-2372.228271484375,618127.25
159,499,0.0007,79500,-4.350538730621338,0.0,1.035577654838562,15899,15900,-31665.883519480005,100.0,-3560.413330078125,911675.1875
160,499,0.0007,80000,-4.3650407791137695,1.1920928955078125e-07,1.0407910346984863,15999,16000,-31728.41824742,100.0,-3908.975341796875,1026472.1875
161,499,0.0007,80500,-4.370942115783691,0.0,1.0427732467651367,16099,16100,-31785.2557503,100.0,-3018.821533203125,623811.6875
162,499,0.0007,81000,-4.367734909057616,1.1920928955078125e-07,1.0422070026397705,16199,16200,-31744.52385073,100.0,-2654.918212890625,571311.5625
163,499,0.0007,81500,-4.362844467163087,-1.1920928955078125e-07,1.0400850772857666,16299,16300,-31777.67159723,100.0,-3919.4375,970126.625
164,499,0.0007,82000,-4.368283748626709,1.7881393432617188e-07,1.0418623685836792,16399,16400,-31819.15130687,100.0,-3969.970458984375,1034850.625
165,499,0.0007,82500,-4.382509231567384,5.960464477539063e-08,1.0470483303070068,16499,16500,-31928.61049213,100.0,-3787.228271484375,846666.125
166,499,0.0007,83000,-4.368339538574219,-2.384185791015625e-07,1.0418999195098877,16599,16600,-32082.23898902,100.0,-3380.069091796875,710614.6875
167,499,0.0007,83500,-4.377984046936035,5.960464477539063e-08,1.0451250076293943,16699,16700,-32134.00768431,100.0,-3127.989013671875,577207.625
168,499,0.0007,84000,-4.366822242736816,0.0,1.0416865348815918,16799,16800,-32226.171607999997,100.0,-3573.852294921875,1040980.6875
169,499,0.0007,84500,-4.367279052734375,0.0,1.0424940586090088,16899,16900,-32366.28965913,100.0,-3156.36328125,903420.5
170,499,0.0007,85000,-4.3878092765808105,0.0,1.0494086742401123,16999,17000,-32448.2755699,100.0,-3610.85595703125,1005172.6875
171,499,0.0007,85500,-4.375678539276123,1.1920928955078125e-07,1.0444166660308838,17099,17100,-32524.15752417,100.0,-3330.473388671875,613783.375
172,499,0.0007,86000,-4.3933091163635245,1.1920928955078125e-07,1.0513099431991575,17199,17200,-32567.320158459992,100.0,-3828.414794921875,910608.6875
173,499,0.0007,86500,-4.395612716674806,-1.1920928955078125e-07,1.0519351959228516,17299,17300,-32691.56920627,100.0,-4691.8515625,1138254.375
174,499,0.0007,87000,-4.412795543670653,1.1920928955078125e-07,1.0574626922607422,17399,17400,-32834.12382999,100.0,-4186.16552734375,908905.3125
175,499,0.0007,87500,-4.422109603881836,-1.1920928955078125e-07,1.0610028505325315,17499,17500,-32846.85161166,100.0,-3644.001708984375,900218.125
176,499,0.0007,88000,-4.413939952850342,-2.384185791015625e-07,1.0582489967346191,17599,17600,-32826.26075577001,100.0,-3084.253662109375,686324.625
177,499,0.0007,88500,-4.412892818450928,-2.384185791015625e-07,1.0574949979782104,17699,17700,-32901.999737859995,100.0,-3269.976318359375,901355.4375
178,499,0.0007,89000,-4.431851387023926,5.960464477539063e-08,1.0646581649780271,17799,17800,-33125.726128869996,100.0,-3019.984130859375,902811.9375
179,499,0.0007,89500,-4.431985855102539,-1.1920928955078125e-07,1.0644358396530151,17899,17900,-33350.11044824,100.0,-3387.913818359375,975263.1875
180,499,0.0007,90000,-4.433342933654785,0.0,1.063913345336914,17999,18000,-33527.45248104,100.0,-4788.35888671875,1037087.3125
181,499,0.0007,90500,-4.446613311767578,-1.1920928955078125e-07,1.0681344270706177,18099,18100,-33588.883777669995,100.0,-3625.44921875,626152.125
182,499,0.0007,91000,-4.429174423217773,0.0,1.0628837347030642,18199,18200,-33676.944197079996,100.0,-2600.943359375,626599.375
