train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed
2602.676828613281,59343.332555542,-11317.867595230002,19400,19600,151,196,100.0,0.001,129
2667.203491210937,60908.336528930675,-11302.320116920004,19800,20000,151,200,100.0,0.001,131
2705.4353466796874,70874.55591369628,-11241.053480970002,20200,20400,151,204,100.0,0.001,134
2764.0915087890626,73372.39565979004,-11205.229676630004,20600,20800,151,208,100.0,0.001,137
2811.9594799804686,67754.09561767578,-11132.27821748,21000,21200,151,212,100.0,0.001,140
2849.1606494140624,65022.67146057129,-11059.82526631,21400,21600,151,216,100.0,0.001,142
2887.5938940429687,76815.96374816894,-11021.865423710002,21800,22000,151,220,100.0,0.001,145
2920.1943408203124,80145.18511657715,-10995.97678353,22200,22400,151,224,100.0,0.001,148
2967.2613916015625,77045.56528869629,-10980.51585005,22600,22800,151,228,100.0,0.001,150
3000.444353027344,70841.33062988281,-10969.51726108,23000,23200,151,232,100.0,0.001,153
3042.250314941406,73346.65954833983,-10961.62763336,23400,23600,151,236,100.0,0.001,156
3095.882043457031,83747.78601257324,-10953.70170352,23800,24000,151,240,100.0,0.001,158
3114.6098681640624,81561.33492248534,-10945.18027409,24200,24400,151,244,100.0,0.001,161
3134.898095703125,106649.81922241213,-10933.52579271,24600,24800,151,248,100.0,0.001,164
3162.9061303710937,81970.7688482666,-10932.65169777,25000,25200,151,252,100.0,0.001,166
3200.3772485351565,86213.77668212891,-10928.072950860002,25400,25600,151,256,100.0,0.001,169
3232.28033203125,85886.48455078126,-10927.2888722,25800,26000,151,260,100.0,0.001,171
3261.714001464844,82237.05493286133,-10926.94500148,26200,26400,151,264,100.0,0.001,174
3274.144853515625,83175.10698059082,-10915.348493029998,26600,26800,151,268,100.0,0.001,177
3297.603872070313,89767.22276245117,-10855.49792381,27000,27200,151,272,100.0,0.001,179
3311.792351074219,93939.03945678713,-10840.76264809,27400,27600,151,276,100.0,0.001,182
3325.2313452148437,98742.34278991699,-10811.683364699997,27800,28000,151,280,100.0,0.001,185
3336.302631835937,102494.25981262207,-10821.95557325,28200,28400,151,284,100.0,0.001,187
3346.93271484375,99576.16805236816,-10830.230374920002,28600,28800,151,288,100.0,0.001,190
3379.033972167969,110727.87585693359,-10816.53061982,29000,29200,151,292,100.0,0.001,193
3379.589814453125,97051.10288085935,-10826.06949005,29400,29600,151,296,100.0,0.001,195
3392.2325610351563,97707.03859130859,-10802.94787898,29800,30000,151,300,100.0,0.001,198
3406.442294921875,92740.33197875977,-10815.6682211,30200,30400,151,304,100.0,0.001,201
3433.161286621094,97204.32198486329,-10804.299452509998,30600,30800,151,308,100.0,0.001,203
3461.806862792969,102389.34049682617,-10807.84225882,31000,31200,151,312,100.0,0.001,206
3459.971999511719,122109.55038330078,-10809.9039956,31400,31600,151,316,100.0,0.001,209
3498.114689941406,104185.8164099121,-10806.84997292,31800,32000,151,320,100.0,0.001,211
3517.693256835937,84509.59231140137,-10801.4774593,32200,32400,151,324,100.0,0.001,214
3546.8429907226564,102361.95643798828,-10805.18010313,32600,32800,151,328,100.0,0.001,217
3523.4560668945314,130150.67381103516,-10806.19757941,33000,33200,151,332,100.0,0.001,219
3559.6923950195314,123552.32448242187,-10808.75452258,33400,33600,151,336,100.0,0.001,222
3575.5239331054686,117367.99909790039,-10809.36379062,33800,34000,151,340,100.0,0.001,225
3583.448483886719,118631.15303710935,-10811.61636043,34200,34400,151,344,100.0,0.001,227
3604.7013745117188,111024.2251538086,-10812.14413068,34600,34800,151,348,100.0,0.001,230
3609.609997558594,142961.08110839844,-10827.01584737,35000,35200,151,352,100.0,0.001,233
3637.845104980469,115520.38793212893,-10827.78273033,35400,35600,151,356,100.0,0.001,235
