train/explained_variance,train/entropy_loss,train/std,train/policy_loss,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,time/fps
0.0,-4.877735137939453,1.2328627109527588,-1734.4840087890625,41500,103,8300,0.0007,8299,-12661.605696029996,151592.53125,100.0,400
0.0,-4.896131992340088,1.2404978275299072,-1431.9417724609375,42000,104,8400,0.0007,8399,-12662.28313778,136401.109375,100.0,400
1.1920928955078125e-07,-4.905983924865723,1.243727207183838,-1808.841796875,42500,106,8500,0.0007,8499,-12646.31476025,153178.484375,100.0,400
1.1920928955078125e-07,-4.881541728973389,1.2338851690292358,-1625.7703857421875,43000,107,8600,0.0007,8599,-12625.72062161,144683.921875,100.0,400
0.0,-4.899192333221436,1.241815447807312,-1461.9140625,43500,108,8700,0.0007,8699,-12608.474392340002,139115.359375,100.0,400
-1.1920928955078125e-07,-4.890668869018555,1.2372931241989136,-1664.1617431640625,44000,109,8800,0.0007,8799,-12596.92241257,128777.4765625,100.0,400
-1.1920928955078125e-07,-4.906098365783691,1.244174242019653,-1606.6107177734375,44500,111,8900,0.0007,8899,-12567.12684454,148756.171875,100.0,400
0.0,-4.912609100341797,1.2465903759002686,-1641.1815185546875,45000,112,9000,0.0007,8999,-12552.486910209998,147884.484375,100.0,400
1.1920928955078125e-07,-4.91096830368042,1.2461538314819336,-1455.1668701171875,45500,113,9100,0.0007,9099,-12552.393657999999,157319.234375,100.0,400
5.960464477539063e-08,-4.905532360076903,1.2429754734039309,-1791.6920166015625,46000,114,9200,0.0007,9199,-12545.8776979,161203.796875,100.0,400
1.1920928955078125e-07,-4.917348861694336,1.247810959815979,-1807.3245849609373,46500,116,9300,0.0007,9299,-12550.74168976,149905.6875,100.0,400
0.0,-4.92149829864502,1.249474287033081,-1944.416259765625,47000,117,9400,0.0007,9399,-12566.44865178,167008.046875,100.0,400
0.0,-4.926452159881592,1.2511918544769287,-2011.6331787109373,47500,118,9500,0.0007,9499,-12610.753675300002,162501.453125,100.0,400
0.0,-4.944832801818848,1.2589752674102783,-1954.5740966796875,48000,119,9600,0.0007,9599,-12647.68254875,165557.796875,100.0,400
0.0,-4.949590682983398,1.2611324787139893,-1916.744140625,48500,120,9700,0.0007,9699,-12687.129731290002,160340.28125,100.0,400
-1.1920928955078125e-07,-4.958190441131592,1.264667510986328,-1824.984619140625,49000,122,9800,0.0007,9799,-12718.262275190002,168660.578125,100.0,400
-1.1920928955078125e-07,-4.940688610076903,1.2576489448547363,-1653.3876953125,49500,123,9900,0.0007,9899,-12745.934420160002,166449.875,100.0,401
0.0,-4.941965579986572,1.2586396932601929,-1543.8548583984375,50000,124,10000,0.0007,9999,-12782.15003913,168434.484375,100.0,401
0.0,-4.943376064300537,1.258326768875122,-2012.1492919921875,50500,125,10100,0.0007,10099,-12827.80608694,168322.9375,100.0,401
0.0,-4.9490966796875,1.2611093521118164,-1626.583251953125,51000,127,10200,0.0007,10199,-12881.45789451,168113.984375,100.0,401
0.0,-4.954056739807129,1.2627638578414917,-1661.8203125,51500,128,10300,0.0007,10299,-12936.83631877,156477.609375,100.0,401
