time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps
147,2777.7856982421877,189,148854.55693237306,100.0,280,27800,-10097.05805495,0.001,28000
147,2781.448642578125,192,145723.6371020508,100.0,284,28200,-10083.877343900002,0.001,28400
147,2809.4654052734377,195,157804.35202636718,100.0,288,28600,-10077.50655121,0.001,28800
147,2832.2596826171875,198,150833.68193847657,100.0,292,29000,-10067.64709382,0.001,29200
147,2848.539462890625,200,130130.74111328126,100.0,296,29400,-10061.195589240002,0.001,29600
147,2875.77068359375,203,153865.12069335938,100.0,300,29800,-10057.306169540001,0.001,30000
147,2879.0432373046874,206,136561.33306518555,100.0,304,30200,-10045.554494380001,0.001,30400
147,2889.6865673828124,209,143504.81746704102,100.0,308,30600,-10039.3681018,0.001,30800
147,2923.04603515625,211,150935.13404785155,100.0,312,31000,-10031.908189820002,0.001,31200
147,2930.7710009765624,214,162395.4899560547,100.0,316,31400,-10026.866001559998,0.001,31600
147,2970.0879052734376,217,135583.15556396486,100.0,320,31800,-10023.236388140002,0.001,32000
147,2960.4627880859375,220,119879.30464355469,100.0,324,32200,-10013.29356372,0.001,32400
147,2991.0252392578127,222,143344.41314941406,100.0,328,32600,-10004.377198909999,0.001,32800
147,3011.4541064453124,225,164963.0444885254,100.0,332,33000,-9964.517948339999,0.001,33200
147,3012.3472998046873,228,166479.60177001954,100.0,336,33400,-9953.642807069999,0.001,33600
147,3028.9134912109375,230,158245.8701220703,100.0,340,33800,-9930.04065876,0.001,34000
147,3051.31794921875,233,181972.03301147462,100.0,344,34200,-9910.814107780001,0.001,34400
147,3079.65470703125,236,152679.87239135744,100.0,348,34600,-9865.859798259999,0.001,34800
147,3078.870107421875,239,189549.1062109375,100.0,352,35000,-9852.42549403,0.001,35200
147,3097.4425830078126,241,145644.15627075196,100.0,356,35400,-9847.9626783,0.001,35600
147,3084.5038916015624,244,142756.25023925782,100.0,360,35800,-9843.49575189,0.001,36000
147,3100.07650390625,247,158154.4616845703,100.0,364,36200,-9840.70978366,0.001,36400
147,3095.806875,250,190608.73297851562,100.0,368,36600,-9842.00712921,0.001,36800
147,3112.3728125,252,160189.1294519043,100.0,372,37000,-9840.64596201,0.001,37200
147,3126.91380859375,255,136461.96591064453,100.0,376,37400,-9849.712251789999,0.001,37600
147,3125.2516357421873,258,193094.33367675781,100.0,380,37800,-9850.66573558,0.001,38000
147,3138.120869140625,261,170133.46809692384,100.0,384,38200,-9842.6194378,0.001,38400
147,3143.9367236328126,263,162034.25385498046,100.0,388,38600,-9831.412589450001,0.001,38800
147,3147.945283203125,266,192383.87356445313,100.0,392,39000,-9823.794939250001,0.001,39200
147,3168.122119140625,269,184135.27568115236,100.0,396,39400,-9828.912201620002,0.001,39600
147,3162.8223583984377,272,173073.81603515625,100.0,400,39800,-9825.1208004,0.001,40000
147,3199.8264697265627,274,142771.27201660155,100.0,404,40200,-9832.84884741,0.001,40400
147,3194.73119140625,277,198228.12604003906,100.0,408,40600,-9825.38639002,0.001,40800
147,3199.546015625,280,191146.00349853517,100.0,412,41000,-9828.39208982,0.001,41200
147,3222.8727685546874,282,183749.49697998047,100.0,416,41400,-9827.0077128,0.001,41600
147,3204.3355810546873,285,173089.58612182617,100.0,420,41800,-9822.191379709999,0.001,42000
147,3250.511787109375,288,179510.97206054686,100.0,424,42200,-9824.188353729998,0.001,42400
147,3234.3613134765624,291,191908.27990600586,100.0,428,42600,-9824.97647944,0.001,42800
146,3235.234560546875,293,171278.6352319336,100.0,432,43000,-9857.454959039998,0.001,43200
146,3254.2840283203127,296,172443.26614746093,100.0,436,43400,-9861.547556729998,0.001,43600
146,3248.8343505859375,299,191616.45869873048,100.0,440,43800,-9884.07728183,0.001,44000
146,3252.126455078125,302,208958.32126953124,100.0,444,44200,-9895.031927359998,0.001,44400
146,3276.6147265625,304,168087.94631347657,100.0,448,44600,-9935.730211449998,0.001,44800
146,3302.63470703125,307,197138.52993896484,100.0,452,45000,-9940.28954522,0.001,45200
146,3289.436923828125,310,190494.86643554686,100.0,456,45400,-9934.69215872,0.001,45600
146,3295.403232421875,313,167522.04157104492,100.0,460,45800,-9939.226496129999,0.001,46000
146,3286.4764501953123,315,184141.7688647461,100.0,464,46200,-9944.145154629998,0.001,46400
146,3307.554599609375,318,165230.7908935547,100.0,468,46600,-9948.15069941,0.001,46800
146,3311.2244091796874,321,164441.8117919922,100.0,472,47000,-9953.34557926,0.001,47200
146,3321.078232421875,323,151470.46774658203,100.0,476,47400,-9950.181610560001,0.001,47600
146,3325.7727294921874,326,165586.09426513672,100.0,480,47800,-9951.73272778,0.001,48000
146,3319.18236328125,329,166929.01807373046,100.0,484,48200,-9962.606613449998,0.001,48400
146,3320.5631591796873,332,187105.1615625,100.0,488,48600,-9976.58130063,0.001,48800
146,3343.390361328125,334,155582.79223632812,100.0,492,49000,-9987.281308669999,0.001,49200
146,3356.95671875,337,170473.77940185546,100.0,496,49400,-9982.329101860001,0.001,49600
146,3336.02947265625,340,191553.2784863281,100.0,500,49800,-9980.05652364,0.001,50000
146,3362.00814453125,342,178030.43211425783,100.0,504,50200,-9972.2432917,0.001,50400
147,3395.734541015625,345,183583.71898925782,100.0,508,50600,-9980.54195184,0.001,50800
147,3359.7494091796875,348,166368.86056884765,100.0,512,51000,-9979.92402277,0.001,51200
147,3367.5894482421877,350,186969.41636230468,100.0,516,51400,-9978.42927447,0.001,51600
147,3377.5502392578123,353,186970.33688232422,100.0,520,51800,-9972.107540710002,0.001,52000
147,3397.824072265625,356,161409.12100097656,100.0,524,52200,-9965.4069491,0.001,52400
147,3402.8239306640626,358,184650.43384033203,100.0,528,52600,-9937.68593509,0.001,52800
147,3400.14669921875,361,211710.59564941406,100.0,532,53000,-9832.74202165,0.001,53200
147,3431.8402587890623,364,184402.5733520508,100.0,536,53400,-9833.5737909,0.001,53600
147,3424.048828125,366,214842.57955078126,100.0,540,53800,-9717.163752340002,0.001,54000
147,3432.224443359375,369,175269.4056958008,100.0,544,54200,-9657.09716871,0.001,54400
147,3435.302021484375,372,145458.756015625,100.0,548,54600,-9645.970309999999,0.001,54800
147,3435.9672216796876,374,239207.59001464845,100.0,552,55000,-9625.69185394,0.001,55200
147,3436.2771044921874,377,194305.41416259765,100.0,556,55400,-9422.22913481,0.001,55600
147,3437.771611328125,380,217810.2535913086,100.0,560,55800,-9411.77933468,0.001,56000
147,3464.859248046875,383,189540.53403076172,100.0,564,56200,-9306.67468025,0.001,56400
147,3469.3997314453127,385,199721.18494628905,100.0,568,56600,-9177.59179079,0.001,56800
147,3442.09189453125,388,215618.7697290039,100.0,572,57000,-8976.26887506,0.001,57200
147,3451.226806640625,391,209294.44510742187,100.0,576,57400,-8770.765182030002,0.001,57600
147,3456.731259765625,394,186487.8196044922,100.0,580,57800,-8572.596580660002,0.001,58000
147,3464.998515625,396,190418.24317871092,100.0,584,58200,-8360.74702406,0.001,58400
147,3461.044580078125,399,192734.88244628906,100.0,588,58600,-8197.20980055,0.001,58800
147,3476.09494140625,402,199872.6655078125,100.0,592,59000,-8081.493789609999,0.001,59200
147,3460.6799853515627,405,191154.2030151367,100.0,596,59400,-7817.893969500001,0.001,59600
147,3485.8734375,407,160422.52219970702,100.0,600,59800,-7617.110516130001,0.001,60000
147,3472.06919921875,410,242420.47578613283,100.0,604,60200,-7454.744099620001,0.001,60400
147,3481.145517578125,413,192690.4014892578,100.0,608,60600,-7191.1890035100005,0.001,60800
147,3474.6639892578123,416,208446.69197509767,100.0,612,61000,-6976.322029559998,0.001,61200
147,3477.6345947265627,418,193273.3035498047,100.0,616,61400,-6627.73781893,0.001,61600
147,3486.403359375,421,210636.14704589843,100.0,620,61800,-6280.403121279998,0.001,62000
147,3483.3073095703126,424,197286.8747680664,100.0,624,62200,-6086.231313640001,0.001,62400
147,3465.48970703125,427,196426.66837158203,100.0,628,62600,-6014.591171839999,0.001,62800
147,3470.48201171875,429,187589.74855957032,100.0,632,63000,-5779.787865989999,0.001,63200
147,3472.826083984375,432,183361.09952880858,100.0,636,63400,-5385.864316249999,0.001,63600
147,3478.3078564453126,435,181661.45011962892,100.0,640,63800,-5248.183446549999,0.001,64000
147,3459.688115234375,438,216562.5614453125,100.0,644,64200,-5063.07537881,0.001,64400
147,3460.80662109375,440,219920.8251977539,100.0,648,64600,-4680.41106908,0.001,64800
147,3448.258095703125,443,198122.2085961914,100.0,652,65000,-4306.8668554099995,0.001,65200
