train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
0.05309903249144554,2647,505,0.7753532528877258,267500,1337500,0.0015139812603592873,-172.0,1.0,nan,-1.8454159498214722,0.0007,267499
0.022919848561286926,2648,505,0.7769551277160645,267600,1338000,0.00030888323090039194,-172.0,1.0,nan,-1.843981146812439,0.0007,267599
0.018586019054055214,2649,505,0.7805255651473999,267700,1338500,9.211734868586063e-05,-172.0,1.0,nan,-1.8451718091964722,0.0007,267699
0.011426764540374279,2650,505,0.7825213074684143,267800,1339000,4.4667162001132965e-05,-172.0,1.0,nan,-1.8416107892990112,0.0007,267799
0.0376422218978405,2651,505,0.7752408385276794,267900,1339500,0.00036788382567465305,-172.0,1.0,nan,-1.8278144598007202,0.0007,267899
0.009439009241759777,2652,505,0.7744948863983154,268000,1340000,1.5691015505581163e-05,-172.0,1.0,nan,-1.8240540027618408,0.0007,267999
-0.04128686711192131,2653,505,0.769162118434906,268100,1340500,0.0003505332861095667,-172.0,1.0,nan,-1.8124126195907593,0.0007,268099
0.033983342349529266,2654,505,0.7597757577896118,268200,1341000,0.00022498168982565403,-172.12280712,1.0,nan,-1.7910231351852417,0.0007,268199
0.039572715759277344,2655,505,0.7581690549850464,268300,1341500,0.0005915844812989235,-172.20359842,1.0,nan,-1.7792158126831055,0.0007,268299
0.030422329902648926,2656,505,0.7534886002540588,268400,1342000,0.00038206600584089756,-172.01751214,1.0,nan,-1.7722491025924683,0.0007,268399
0.007997226901352406,2657,505,0.7544831037521362,268500,1342500,1.904461532831192e-05,-172.0,1.0,nan,-1.7662006616592407,0.0007,268499
-0.04911819100379944,2658,505,0.7565892934799194,268600,1343000,0.0009248146670870483,-172.0,1.0,nan,-1.758975863456726,0.0007,268599
-0.009291814640164375,2659,505,0.7516840100288391,268700,1343500,1.6973353922367096e-05,-172.0,1.0,nan,-1.7486785650253296,0.0007,268699
0.0006720161763951182,2660,505,0.7557691931724548,268800,1344000,2.2090971185662056e-07,-172.0,1.0,nan,-1.7605491876602173,0.0007,268799
3.8488051359308884e-05,2661,505,0.7515522241592407,268900,1344500,9.313225746154785e-10,-172.0,1.0,nan,-1.7502148151397705,0.0007,268899
0.052775003015995026,2662,505,0.7567001581192017,269000,1345000,0.001036585308611393,-172.0,1.0,nan,-1.7528581619262695,0.0007,268999
-0.03480897471308708,2663,505,0.7588344812393188,269100,1345500,0.00040888675721362233,-172.0,1.0,nan,-1.7574331760406494,0.0007,269099
-0.004448523744940758,2664,505,0.7624021172523499,269200,1346000,8.67270864546299e-06,-172.0,1.0,nan,-1.764672875404358,0.0007,269199
-0.042867522686719894,2665,505,0.7585959434509277,269300,1346500,0.0004150809836573899,-172.0,1.0,nan,-1.751975655555725,0.0007,269299
0.04118680581450462,2665,505,0.7666226029396057,269400,1347000,0.000419069838244468,-172.0,1.0,nan,-1.7633026838302612,0.0007,269399
-0.027986222878098488,2666,505,0.7644714713096619,269500,1347500,0.00030152592808008194,-172.0,1.0,nan,-1.7530921697616577,0.0007,269499
0.04578635096549988,2667,505,0.7565197944641113,269600,1348000,0.00041545412386767566,-172.0,1.0,nan,-1.7315815687179565,0.0007,269599
0.06424268335103989,2668,505,0.7493320107460022,269700,1348500,0.000620886916294694,-172.0,1.0,nan,-1.7156568765640259,0.0007,269699
0.0187578983604908,2669,505,0.7570595741271973,269800,1349000,0.0001805500651244074,-172.0,1.0,nan,-1.7356003522872925,0.0007,269799
0.020642489194869995,2670,505,0.7575414180755615,269900,1349500,0.00015125516802072525,-172.0,1.0,nan,-1.7304826974868774,0.0007,269899
0.09143063426017761,2671,505,0.7512345314025879,270000,1350000,0.0009947663638740778,-172.0,1.0,nan,-1.7119169235229492,0.0007,269999
0.020591218024492264,2672,505,0.753346860408783,270100,1350500,0.00042169771040789783,-172.0,1.0,nan,-1.7167255878448486,0.0007,270099
-0.01987271197140217,2673,505,0.752379298210144,270200,1351000,0.00012103491462767124,-172.0,1.0,nan,-1.720428705215454,0.0007,270199
0.04642835631966591,2674,505,0.7469649314880371,270300,1351500,0.0006648302660323679,-172.0,1.0,nan,-1.7143974304199219,0.0007,270299
0.012261204421520233,2675,505,0.7492854595184326,270400,1352000,0.0001682201400399208,-172.0,1.0,nan,-1.7282441854476929,0.0007,270399
0.049874451011419296,2676,505,0.7468787431716919,270500,1352500,0.0003308206796646118,-172.0,1.0,nan,-1.7239693403244019,0.0007,270499
0.03993452712893486,2677,505,0.7494989037513733,270600,1353000,0.00044649263145402074,-172.0,1.0,nan,-1.725608468055725,0.0007,270599
0.012570112943649292,2678,505,0.7476131319999695,270700,1353500,8.978904224932194e-05,-172.0,1.0,nan,-1.713079810142517,0.0007,270699
-0.02675776742398739,2679,505,0.7567453384399414,270800,1354000,0.00033026584424078465,-172.0,1.0,nan,-1.7257226705551147,0.0007,270799
-0.04830421879887581,2680,505,0.7590003609657288,270900,1354500,0.0003226580156479031,-172.0,1.0,nan,-1.7216366529464722,0.0007,270899
-0.03607376664876938,2681,505,0.7533807754516602,271000,1355000,0.0004603989946190268,-172.0,1.0,nan,-1.717838168144226,0.0007,270999
0.013167977333068848,2682,505,0.7558698654174805,271100,1355500,6.9410540163517e-05,-172.0,1.0,nan,-1.7272955179214478,0.0007,271099
0.013368591666221619,2683,505,0.75730299949646,271200,1356000,8.978904224932194e-05,-172.0,1.0,nan,-1.7386573553085327,0.0007,271199
-0.050161805003881454,2684,505,0.7631208896636963,271300,1356500,0.001319954521022737,-172.0,1.0,nan,-1.7483530044555664,0.0007,271299
0.0363750159740448,2685,505,0.7630757689476013,271400,1357000,0.00037140422500669956,-172.0,1.0,nan,-1.7499862909317017,0.0007,271399
0.021876012906432152,2686,505,0.7592183351516724,271500,1357500,0.00010893121361732483,-172.0,1.0,nan,-1.735730528831482,0.0007,271499
0.0432732030749321,2687,505,0.7693943977355957,271600,1358000,0.0009880401194095612,-172.0,1.0,nan,-1.7658175230026245,0.0007,271599
0.019654737785458565,2688,505,0.77142733335495,271700,1358500,8.829166472423822e-05,-172.0,1.0,nan,-1.7727972269058228,0.0007,271699
