train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/value_loss
-4.892763614654541,100.0,66,-2147.38720703125,6900,-12756.860911569998,517,0.0007,0.0,34500,1.2365591526031494,6899,166596.046875
-4.892588138580322,100.0,67,-1683.569580078125,7000,-12757.23502941,517,0.0007,-1.1920928955078125e-07,35000,1.2372550964355469,6999,156151.0
-4.887133121490479,100.0,68,-1921.2496337890625,7100,-12763.341262070002,517,0.0007,5.960464477539063e-08,35500,1.2348120212554932,7099,167409.421875
-4.908757209777832,100.0,69,-1614.7418212890625,7200,-12783.04443334,517,0.0007,0.0,36000,1.2445664405822754,7199,150513.296875
-4.921655654907227,100.0,70,-1439.5565185546875,7300,-12806.821015199996,517,0.0007,5.960464477539063e-08,36500,1.2507662773132324,7299,159302.453125
-4.932774543762207,100.0,71,-1524.7572021484375,7400,-12832.790139709998,517,0.0007,5.960464477539063e-08,37000,1.2546982765197754,7399,159890.796875
-4.938576698303223,100.0,72,-1601.4315185546875,7500,-12849.26040336,517,0.0007,0.0,37500,1.2569096088409424,7499,157374.921875
-4.963294982910156,100.0,73,-1885.3482666015625,7600,-12884.52071547,517,0.0007,1.1920928955078125e-07,38000,1.2664034366607666,7599,157912.328125
-4.97188663482666,100.0,74,-1674.2232666015625,7700,-12912.28445722,517,0.0007,1.1920928955078125e-07,38500,1.2704191207885742,7699,153004.203125
-4.978464603424072,100.0,75,-1864.370361328125,7800,-12932.177581719998,517,0.0007,0.0,39000,1.2728979587554932,7799,168280.15625
-4.993597030639648,100.0,76,-1828.4520263671875,7900,-12929.714679720002,517,0.0007,0.0,39500,1.279363036155701,7899,161573.171875
-5.002928256988525,100.0,77,-1621.3492431640625,8000,-12935.223374320005,517,0.0007,-1.1920928955078125e-07,40000,1.284276247024536,7999,157433.296875
-5.019999980926514,100.0,78,-1521.139892578125,8100,-12943.36832368,518,0.0007,1.1920928955078125e-07,40500,1.2918521165847778,8099,159250.671875
-5.0153231620788565,100.0,79,-1618.2049560546875,8200,-12961.98484355,518,0.0007,-1.1920928955078125e-07,41000,1.2898342609405518,8199,160849.296875
-5.019357204437256,100.0,80,-1874.1336669921875,8300,-12972.06036639,518,0.0007,1.1920928955078125e-07,41500,1.2913860082626345,8299,168182.9375
-5.011545181274414,100.0,81,-1720.4520263671875,8400,-12974.39927007,518,0.0007,0.0,42000,1.2885382175445557,8399,156668.28125
-5.031197547912598,100.0,82,-1763.1043701171875,8500,-12993.98248472,518,0.0007,1.1920928955078125e-07,42500,1.297119379043579,8499,153990.40625
-5.021968364715576,100.0,82,-1712.7952880859375,8600,-13007.28632979,518,0.0007,-1.1920928955078125e-07,43000,1.2933276891708374,8599,162835.125
-5.0366244316101065,100.0,83,-1871.33984375,8700,-13003.01943603,518,0.0007,0.0,43500,1.2995507717132568,8699,165749.40625
-5.035518169403076,100.0,84,-2088.805908203125,8800,-13005.91716643,518,0.0007,0.0,44000,1.2985128164291382,8799,169866.921875
-5.02081298828125,100.0,85,-1810.2835693359373,8900,-13008.97703875,518,0.0007,-1.1920928955078125e-07,44500,1.2919180393218994,8899,158849.515625
-5.036529064178467,100.0,86,-1583.5853271484375,9000,-13012.927947529995,518,0.0007,1.1920928955078125e-07,45000,1.2994012832641602,8999,158454.28125
-5.034665107727051,100.0,87,-1634.7386474609375,9100,-13011.97546889,518,0.0007,0.0,45500,1.2988402843475342,9099,159454.078125
-5.071467876434326,100.0,88,-1620.6875,9200,-12999.966140839995,518,0.0007,0.0,46000,1.3148293495178225,9199,147414.546875
-5.094268321990967,100.0,89,-1788.500244140625,9300,-12990.53532863,518,0.0007,-2.384185791015625e-07,46500,1.324791669845581,9299,149645.546875
-5.1113009452819815,100.0,90,-1760.2119140625,9400,-12983.863919200001,518,0.0007,0.0,47000,1.3319543600082395,9399,154760.921875
-5.130193710327148,100.0,91,-1776.0078125,9500,-12981.902416649997,518,0.0007,0.0,47500,1.3398030996322632,9499,151481.5625
-5.15059757232666,100.0,92,-1960.208251953125,9600,-12979.397910059995,518,0.0007,0.0,48000,1.3491373062133791,9599,163956.171875
-5.1485795974731445,100.0,93,-2306.712646484375,9700,-12977.23565965,518,0.0007,0.0,48500,1.3476524353027344,9699,158337.25
-5.157297611236572,100.0,94,-2131.500732421875,9800,-12972.44963998,518,0.0007,0.0,49000,1.3514761924743652,9799,149142.796875
-5.16309928894043,100.0,95,-1705.0797119140625,9900,-12959.703428709998,518,0.0007,1.1920928955078125e-07,49500,1.3545737266540527,9899,152729.546875
-5.154801368713379,100.0,96,-1557.6610107421875,10000,-12956.58476993,518,0.0007,1.1920928955078125e-07,50000,1.35108745098114,9999,153532.921875
-5.141847133636475,100.0,97,-2051.668212890625,10100,-12955.937345209995,518,0.0007,5.960464477539063e-08,50500,1.344381332397461,10099,152103.484375
-5.173127174377441,100.0,98,-1709.120361328125,10200,-12954.516465109995,518,0.0007,0.0,51000,1.359610915184021,10199,166931.8125
-5.1875643730163565,100.0,99,-2070.171142578125,10300,-12953.263796939998,518,0.0007,-1.1920928955078125e-07,51500,1.3652570247650146,10299,156784.859375
-5.199379920959473,100.0,100,-2065.7998046875,10400,-12956.887627830005,518,0.0007,-1.1920928955078125e-07,52000,1.3708438873291016,10399,146615.140625
-5.203216075897217,100.0,101,-1659.7796630859375,10500,-12945.53867182,518,0.0007,0.0,52500,1.3741276264190674,10499,151714.484375
-5.204558849334717,100.0,102,-1551.427001953125,10600,-12935.868964280002,518,0.0007,5.960464477539063e-08,53000,1.3753399848937988,10599,150680.203125
-5.2047271728515625,100.0,103,-1906.0595703125,10700,-12923.61265574,518,0.0007,0.0,53500,1.3742587566375732,10699,147110.0
-5.224836826324463,100.0,104,-1469.4539794921875,10800,-12890.94698822,518,0.0007,-1.1920928955078125e-07,54000,1.385190486907959,10799,141114.171875
-5.246135711669922,100.0,105,-1605.819580078125,10900,-12867.23906901,518,0.0007,0.0,54500,1.3948553800582886,10899,146534.78125
-5.260427951812744,100.0,106,-2108.259765625,11000,-12844.30222946,518,0.0007,1.1920928955078125e-07,55000,1.3997882604599,10999,152395.8125
-5.284513473510742,100.0,107,-1943.600830078125,11100,-12827.90931316,518,0.0007,-1.1920928955078125e-07,55500,1.4116071462631226,11099,160403.734375
-5.297790050506592,100.0,107,-1532.7376708984375,11200,-12821.872594180002,518,0.0007,0.0,56000,1.4192900657653809,11199,145813.359375
-5.299363613128662,100.0,108,-1701.440673828125,11300,-12814.61662523,518,0.0007,0.0,56500,1.4194544553756714,11299,140754.5
-5.312297821044922,100.0,109,-2410.98291015625,11400,-12792.780610209995,518,0.0007,0.0,57000,1.4253911972045898,11399,157488.625
-5.326282501220703,100.0,110,-1610.8218994140625,11500,-12776.250094059998,518,0.0007,2.384185791015625e-07,57500,1.43385910987854,11499,140120.296875
-5.319601058959961,100.0,111,-1584.5208740234375,11600,-12770.947495809998,518,0.0007,0.0,58000,1.4308408498764038,11599,145784.953125
-5.327611923217773,100.0,112,-1837.0009765625,11700,-12764.33676296,518,0.0007,5.960464477539063e-08,58500,1.4338302612304688,11699,159860.359375
