train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
29800,200,300,127039.93008789062,0.001,149,-12285.48082746,100.0,30000,2407.641918945313
30200,203,304,86275.93528442383,0.001,149,-12232.245464439995,100.0,30400,2443.7990478515626
30600,205,308,119834.15889038086,0.001,149,-12165.60286849,100.0,30800,2472.481162109375
31000,208,312,130952.32426513672,0.001,149,-12089.625082960005,100.0,31200,2508.824794921875
31400,211,316,95598.18094848633,0.001,149,-12004.113263840005,100.0,31600,2536.640756835937
31800,213,320,138481.2119055176,0.001,149,-11915.13004008,100.0,32000,2553.14041015625
32200,216,324,108591.51956298828,0.001,149,-11828.26052424,100.0,32400,2583.4440966796874
32600,218,328,122967.99530761717,0.001,149,-11729.70048325,100.0,32800,2600.374833984375
33000,221,332,138505.5273010254,0.001,149,-11645.15034105,100.0,33200,2616.232060546875
33400,223,336,127683.5985546875,0.001,150,-11558.48222434,100.0,33600,2655.9802197265626
33800,226,340,130160.380859375,0.001,150,-11459.95309514,100.0,34000,2680.046240234375
34200,229,344,121264.14451416016,0.001,150,-11403.98630734,100.0,34400,2685.622890625
34600,231,348,134575.0605834961,0.001,150,-11341.25784151,100.0,34800,2741.61404296875
35000,234,352,145322.5772558594,0.001,150,-11308.277127469997,100.0,35200,2760.6583984375
35400,237,356,149864.40635498046,0.001,150,-11278.2193633,100.0,35600,2791.47216796875
35800,239,360,154104.66213378907,0.001,150,-11199.12168642,100.0,36000,2812.89884765625
36200,242,364,162586.0867504883,0.001,150,-11139.084610200001,100.0,36400,2825.578544921875
36600,245,368,159261.28458740233,0.001,150,-11092.81765171,100.0,36800,2835.721806640625
37000,247,372,142658.10442138673,0.001,150,-11054.96427123,100.0,37200,2863.5144384765626
37400,250,376,146280.1964086914,0.001,150,-11026.83862857,100.0,37600,2910.07302734375
37800,253,380,136959.59525878905,0.001,150,-10978.48727365,100.0,38000,2930.1591552734376
38200,255,384,137440.33346923828,0.001,150,-10938.47432583,100.0,38400,2970.3808056640623
38600,258,388,191922.35995361328,0.001,149,-10899.44422663,100.0,38800,2987.14876953125
39000,261,392,169975.25578369142,0.001,149,-10852.66417495,100.0,39200,3007.4594921875
39400,264,396,155999.19069091798,0.001,149,-10833.58000519,100.0,39600,3026.966494140625
39800,266,400,194136.24033691405,0.001,149,-10701.30329378,100.0,40000,3019.4248095703124
40200,269,404,176886.1925024414,0.001,149,-10652.34258903,100.0,40400,3070.954907226563
40600,272,408,175917.75755859376,0.001,149,-10600.13574,100.0,40800,3097.337211914063
41000,274,412,168294.8150366211,0.001,149,-10580.25479532,100.0,41200,3113.9540234375
41400,277,416,175309.1636791992,0.001,149,-10558.808386420002,100.0,41600,3168.8390966796874
41800,280,420,184674.6233984375,0.001,149,-10551.89551235,100.0,42000,3169.0463671875
42200,283,424,200041.48875976566,0.001,149,-10532.92265861,100.0,42400,3196.8336279296873
42600,285,428,181065.11534179692,0.001,149,-10531.55265828,100.0,42800,3206.36396484375
43000,288,432,175045.847734375,0.001,149,-10503.41220401,100.0,43200,3196.8477197265624
43400,291,436,193198.845234375,0.001,149,-10496.69124753,100.0,43600,3240.3174755859377
43800,293,440,214647.0789672852,0.001,149,-10485.15587198,100.0,44000,3283.2387109375
44200,296,444,181044.72090332035,0.001,149,-10450.5669923,100.0,44400,3281.834345703125
44600,299,448,185704.5678491211,0.001,149,-10439.27684623,100.0,44800,3286.496596679688
45000,301,452,219473.0309472656,0.001,149,-10423.40731845,100.0,45200,3313.820893554688
45400,304,456,194771.0096875,0.001,149,-10301.776051400002,100.0,45600,3346.7427783203125
45800,307,460,213136.57852783203,0.001,149,-10228.76992985,100.0,46000,3367.613779296875
46200,310,464,203248.1118945313,0.001,149,-10208.72371406,100.0,46400,3381.1457275390626
46600,312,468,232930.48468261719,0.001,149,-10111.66842646,100.0,46800,3396.7658544921874
47000,315,472,191672.66111083984,0.001,149,-10014.48057955,100.0,47200,3417.7238525390626
47400,318,476,219916.0810498047,0.001,149,-9908.802405060002,100.0,47600,3434.082099609375
