time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
13200,132,-10099.465990650002,154,100.0,13000,1334.2301782226561,32433.14294555664,85,0.001
13600,136,-10110.42636742,154,100.0,13400,1374.1141674804687,28364.76172302246,88,0.001
14000,140,-10123.10735233,154,100.0,13800,1430.4690478515624,33287.26120788574,90,0.001
14400,144,-10133.309051150001,153,100.0,14200,1480.041162109375,36175.360537719724,93,0.001
14800,148,-10142.60794465,153,100.0,14600,1531.9730517578125,34438.13728240967,96,0.001
15200,152,-10150.25649202,153,100.0,15000,1589.3238403320313,41491.493793945316,98,0.001
15600,156,-10158.382889780001,153,100.0,15400,1630.93423828125,42165.72708984375,101,0.001
16000,160,-10167.65397247,153,100.0,15800,1679.0956713867188,45733.86028137207,104,0.001
16400,164,-10171.42879312,153,100.0,16200,1734.560244140625,45514.24095581055,106,0.001
16800,168,-10178.111653990001,153,100.0,16600,1796.299716796875,44615.45479980469,109,0.001
17200,172,-10187.126150729999,153,100.0,17000,1834.4020043945313,43341.132158813474,111,0.001
17600,176,-10193.13181325,153,100.0,17400,1879.1450561523438,66260.02000793457,114,0.001
18000,180,-10198.01209577,153,100.0,17800,1925.9522802734375,58034.27429565429,117,0.001
18400,184,-10197.15890625,153,100.0,18200,1977.5181103515624,56747.41114135742,119,0.001
18800,188,-10198.836475520002,153,100.0,18600,2008.0801440429686,60688.52879150391,122,0.001
19200,192,-10199.129638060002,153,100.0,19000,2017.43498046875,67804.69994995117,124,0.001
19600,196,-10199.55380871,153,100.0,19400,2036.5519897460938,53468.72741210937,127,0.001
20000,200,-10201.75413911,153,100.0,19800,2048.03822265625,73677.26557861328,130,0.001
20400,204,-10203.62383416,153,100.0,20200,2062.5938159179686,74229.72129760742,132,0.001
20800,208,-10203.51434236,153,100.0,20600,2067.687854003906,66136.02673095703,135,0.001
21200,212,-10198.420961810001,153,100.0,21000,2075.2253735351565,74348.87592163085,138,0.001
21600,216,-10196.501187209999,153,100.0,21400,2092.686413574219,80319.61267700195,140,0.001
22000,220,-10198.11421928,153,100.0,21800,2102.1340625,71543.2977368164,143,0.001
22400,224,-10195.49019154,153,100.0,22200,2119.05052734375,70041.1411743164,145,0.001
22800,228,-10199.04870291,153,100.0,22600,2130.9238818359377,72967.92976196289,148,0.001
23200,232,-10203.312090610001,153,100.0,23000,2146.2355615234374,75500.1625390625,151,0.001
23600,236,-10203.492489319999,153,100.0,23400,2171.640681152344,70913.0771484375,153,0.001
24000,240,-10203.85030563,153,100.0,23800,2163.9001000976564,65735.42056884765,156,0.001
24400,244,-10202.64150354,153,100.0,24200,2203.123327636719,64191.04478637695,159,0.001
24800,248,-10201.203106430003,153,100.0,24600,2214.1742919921876,86440.90163085937,161,0.001
25200,252,-10203.631220860001,153,100.0,25000,2237.0056689453127,84187.17353759766,164,0.001
25600,256,-10204.723398860002,153,100.0,25400,2250.958505859375,79532.50529663086,166,0.001
26000,260,-10208.56012715,153,100.0,25800,2282.57857421875,72706.28900634765,169,0.001
26400,264,-10212.39515303,153,100.0,26200,2305.49240234375,65145.409838867185,172,0.001
26800,268,-10212.36753176,153,100.0,26600,2320.83814453125,61238.83927734375,174,0.001
27200,272,-10210.192910550002,153,100.0,27000,2292.4008911132814,79280.34907958984,177,0.001
27600,276,-10204.901041430001,153,100.0,27400,2296.0057373046875,75821.21650390625,179,0.001
28000,280,-10203.957967269998,153,100.0,27800,2287.7951928710936,82170.38292480468,182,0.001
28400,284,-10204.86483875,153,100.0,28200,2339.6895166015624,59715.62383789063,185,0.001
28800,288,-10205.49723725,153,100.0,28600,2338.484541015625,87994.64963867188,187,0.001
29200,292,-10206.91135757,153,100.0,29000,2379.956552734375,66837.5734375,190,0.001
29600,296,-10208.28387471,153,100.0,29400,2380.3078369140626,73628.6282824707,192,0.001
30000,300,-10207.373552560002,153,100.0,29800,2369.79158203125,75685.04143920899,195,0.001
30400,304,-10207.4503411,153,100.0,30200,2391.9499755859374,75272.8892919922,198,0.001
30800,308,-10207.71751128,153,100.0,30600,2390.8791552734374,100244.6630859375,200,0.001
31200,312,-10211.99240005,153,100.0,31000,2393.3589697265625,55494.33061401367,203,0.001
31600,316,-10214.590731479999,153,100.0,31400,2415.641875,69890.45173950195,205,0.001
32000,320,-10214.099073719999,153,100.0,31800,2413.1338671875,81458.02364990234,208,0.001
32400,324,-10213.444512869999,153,100.0,32200,2422.956552734375,91589.62199951171,211,0.001
32800,328,-10210.811297389999,153,100.0,32600,2442.246123046875,81317.8706262207,213,0.001
33200,332,-10209.07048333,153,100.0,33000,2459.161416015625,77801.2336694336,216,0.001
33600,336,-10209.14303755,153,100.0,33400,2455.08017578125,78307.72295898438,219,0.001
34000,340,-10207.5771216,153,100.0,33800,2456.5579833984375,78097.97527587891,221,0.001
34400,344,-10208.83386382,153,100.0,34200,2458.4575341796876,55649.67333129883,224,0.001
34800,348,-10207.088087069998,153,100.0,34600,2450.529287109375,104876.4992944336,226,0.001
35200,352,-10204.37001833,153,100.0,35000,2454.717353515625,75913.4638635254,229,0.001
35600,356,-10203.686515340001,153,100.0,35400,2475.8501513671877,69010.23984619141,232,0.001
36000,360,-10201.08494273,153,100.0,35800,2473.4571923828125,80121.9614794922,234,0.001
36400,364,-10197.32918203,153,100.0,36200,2487.2844189453126,89697.28491943359,237,0.001
36800,368,-10195.59012671,153,100.0,36600,2499.8692041015624,89306.91729492188,239,0.001
37200,372,-10194.77570676,153,100.0,37000,2483.333349609375,77707.53970214844,242,0.001
37600,376,-10196.33091309,153,100.0,37400,2468.930166015625,71282.0616052246,245,0.001
38000,380,-10197.26275193,153,100.0,37800,2491.271982421875,88594.44264648437,247,0.001
38400,384,-10194.79715757,153,100.0,38200,2506.960615234375,76020.75474121094,250,0.001
38800,388,-10193.70790843,153,100.0,38600,2498.94345703125,54127.61595703125,253,0.001
39200,392,-10192.435626909999,153,100.0,39000,2503.7678125,96528.115,255,0.001
39600,396,-10192.14900898,153,100.0,39400,2558.7212841796877,74020.96736083984,258,0.001
40000,400,-10193.448108260001,153,100.0,39800,2553.3360888671873,118816.67712158203,260,0.001
40400,404,-10191.735549120001,153,100.0,40200,2546.2747216796874,83527.9942553711,263,0.001
40800,408,-10190.942547800001,153,100.0,40600,2546.4795068359376,77240.81286743164,266,0.001
41200,412,-10187.093411069998,153,100.0,41000,2571.4575732421877,107615.73987548827,268,0.001
41600,416,-10183.40326207,153,100.0,41400,2565.0577294921877,87646.59367919921,271,0.001
42000,420,-10182.68604628,153,100.0,41800,2582.020537109375,76331.16292480468,274,0.001
42400,424,-10184.795196009998,153,100.0,42200,2601.896689453125,86191.92311767577,276,0.001
42800,428,-10187.0283973,153,100.0,42600,2603.6827197265625,78975.24695800782,279,0.001
43200,432,-10183.579096240002,153,100.0,43000,2643.2774072265624,106308.08436279297,281,0.001
43600,436,-10183.05265953,153,100.0,43400,2647.86138671875,98559.70435791016,284,0.001
44000,440,-10182.422608779998,153,100.0,43800,2651.6256494140625,88768.82468017578,287,0.001
44400,444,-10180.760344519998,153,100.0,44200,2676.2265185546876,95320.57967529297,289,0.001
44800,448,-10184.07649188,153,100.0,44600,2700.9740185546875,91549.75702392578,292,0.001
45200,452,-10182.4634587,153,100.0,45000,2718.0944873046874,83225.45291625976,294,0.001
45600,456,-10181.24166927,153,100.0,45400,2722.310400390625,88505.02372070313,297,0.001
46000,460,-10179.94510241,153,100.0,45800,2731.400849609375,106099.9233178711,300,0.001
46400,464,-10181.54640675,153,100.0,46200,2749.71849609375,105469.50399414063,302,0.001
46800,468,-10182.91497167,153,100.0,46600,2764.2771533203127,97999.07955322266,305,0.001
47200,472,-10180.66898419,153,100.0,47000,2790.9438623046876,93597.05501220703,308,0.001
47600,476,-10177.05811673,153,100.0,47400,2778.5873828125,119005.4383618164,310,0.001
48000,480,-10176.15534712,153,100.0,47800,2815.939970703125,109022.68612304688,313,0.001
48400,484,-10180.359752430002,153,100.0,48200,2824.1056982421874,79160.46117675782,315,0.001
48800,488,-10180.07177633,153,100.0,48600,2842.4677587890624,95361.31106933593,318,0.001
49200,492,-10179.36445322,153,100.0,49000,2860.610771484375,102409.0391796875,321,0.001
49600,496,-10179.10442685,153,100.0,49400,2895.4625634765625,130920.56858154298,323,0.001
50000,500,-10178.455976719999,153,100.0,49800,2909.9853271484376,82770.23720214843,326,0.001
50400,504,-10177.271051349999,153,100.0,50200,2908.0842431640626,81849.75603515626,329,0.001
50800,508,-10178.195532079999,153,100.0,50600,2923.3596630859374,82980.23672851562,331,0.001
51200,512,-10179.52010111,153,100.0,51000,2962.2514501953124,98975.33702636718,334,0.001
51600,516,-10180.7399549,153,100.0,51400,2941.3552734375,102900.8360205078,336,0.001
52000,520,-10181.36773117,153,100.0,51800,2945.255966796875,104254.79755859375,339,0.001
52400,524,-10179.164909199999,153,100.0,52200,3004.190712890625,97116.82748901367,342,0.001
52800,528,-10179.363761210001,153,100.0,52600,2991.9513427734373,98065.6042578125,344,0.001
53200,532,-10179.387814579999,153,100.0,53000,3003.4484765625,119824.98272705078,347,0.001
53600,536,-10179.323388,153,100.0,53400,3011.59037109375,101515.64060302735,349,0.001
54000,540,-10181.918829950002,153,100.0,53800,3018.65609375,116140.64598754882,352,0.001
54400,544,-10182.818781970002,153,100.0,54200,3057.1215869140624,96337.96051147461,355,0.001
54800,548,-10181.733003750001,153,100.0,54600,3071.872529296875,111698.9646508789,357,0.001
55200,552,-10181.35579239,153,100.0,55000,3066.9080908203123,117721.98796630859,360,0.001
55600,556,-10181.8779475,153,100.0,55400,3106.15640625,108162.69724365235,362,0.001
56000,560,-10183.33796552,153,100.0,55800,3087.08791015625,133146.73942626955,365,0.001
56400,564,-10181.94028714,153,100.0,56200,3103.20732421875,129563.98849121094,368,0.001
56800,568,-10178.952357179998,153,100.0,56600,3108.725771484375,128507.18641113282,370,0.001
57200,572,-10178.020966029999,153,100.0,57000,3119.911083984375,124879.25740722656,373,0.001
57600,576,-10178.01325513,153,100.0,57400,3137.4551611328125,99078.50673095703,376,0.001
58000,580,-10176.442336829998,153,100.0,57800,3124.195849609375,137829.05514648437,378,0.001
58400,584,-10172.37527077,153,100.0,58200,3119.5051904296874,136065.99576538085,381,0.001
58800,588,-10167.91160904,153,100.0,58600,3175.132958984375,110469.03499511718,383,0.001
59200,592,-10161.22731322,153,100.0,59000,3127.081787109375,106029.49786865234,386,0.001
59600,596,-10156.33028248,153,100.0,59400,3135.4807470703126,139503.56968017577,389,0.001
60000,600,-9989.96434732,153,100.0,59800,3158.9059912109374,152001.91587890626,391,0.001
