rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,56000,55800,560,156,-17091.972347749994,4519.821748046875,282043.3825,358,0.001
100.0,56400,56200,564,156,-17125.891317909998,4535.5440234375,347584.3535571289,361,0.001
100.0,56800,56600,568,156,-17085.255366769998,4537.320908203125,315067.51057617186,364,0.001
100.0,57200,57000,572,156,-17039.26360919,4544.483271484375,314122.3272290039,366,0.001
100.0,57600,57400,576,156,-17075.14494343,4537.877294921875,283291.25446289056,369,0.001
100.0,58000,57800,580,156,-17061.692562589997,4537.063388671875,277457.0784472656,371,0.001
100.0,58400,58200,584,156,-17063.234722669993,4550.11525390625,338934.1044091797,374,0.001
100.0,58800,58600,588,156,-17148.285029469997,4573.601513671875,283270.17658691405,376,0.001
100.0,59200,59000,592,156,-17073.18070656,4545.338701171875,316822.3667431641,379,0.001
100.0,59600,59400,596,156,-17084.18267899,4640.57724609375,271323.6820092773,381,0.001
100.0,60000,59800,600,156,-17113.25504342,4555.595029296875,314398.4992041016,384,0.001
100.0,60400,60200,604,156,-17113.24533682,4564.32138671875,269621.1593041992,387,0.001
100.0,60800,60600,608,156,-17350.83878831,4601.355126953125,229154.56681640624,389,0.001
100.0,61200,61000,612,156,-17329.787685130003,4572.9259765625,318630.1239550781,392,0.001
100.0,61600,61400,616,155,-17542.44124616,4607.824248046875,396856.7226904297,394,0.001
100.0,62000,61800,620,155,-17718.22168548,4589.788203125,351609.95130859374,397,0.001
100.0,62400,62200,624,155,-17930.989743119993,4584.65228515625,284391.942421875,400,0.001
100.0,62800,62600,628,155,-18117.779772399997,4610.602978515625,341831.9527929688,402,0.001
100.0,63200,63000,632,155,-18188.008451219997,4614.877041015625,332659.90889160155,405,0.001
100.0,63600,63400,636,155,-18308.070666760002,4598.979677734375,346790.3494921875,407,0.001
100.0,64000,63800,640,155,-18488.956177250002,4626.2873828125,331350.4875097656,410,0.001
100.0,64400,64200,644,155,-18731.50039542,4609.954541015625,331765.31149414065,412,0.001
100.0,64800,64600,648,155,-18874.78796321,4598.346484375,287223.2044921875,415,0.001
100.0,65200,65000,652,155,-18997.048879940005,4583.473056640625,330400.7451025391,418,0.001
100.0,65600,65400,656,155,-19246.082855059998,4580.7433203125,335055.2221240234,420,0.001
100.0,66000,65800,660,155,-19385.256867259995,4574.760400390625,322991.8168798828,423,0.001
100.0,66400,66200,664,155,-19460.785177930004,4590.083125,367376.6919921875,425,0.001
100.0,66800,66600,668,155,-19558.82400181,4599.99115234375,338281.18582519534,428,0.001
100.0,67200,67000,672,155,-19600.37441802,4615.52765625,297690.0582861328,430,0.001
100.0,67600,67400,676,155,-19648.249925509997,4602.948662109375,278340.4735839844,433,0.001
100.0,68000,67800,680,155,-19730.38917819,4594.828515625,350390.4960009765,436,0.001
100.0,68400,68200,684,155,-19794.46226893,4630.91185546875,327471.5174584961,438,0.001
