rollout/ep_rew_mean,time/iterations,train/explained_variance,train/std,train/policy_loss,train/n_updates,train/entropy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate
-33163.94463064,5400,-1.1920928955078125e-07,1.1335015296936035,-5010.35498046875,5399,-4.6279029846191415,476,100.0,56,27000,995228.3125,0.0007
-33195.48238249,5500,-1.1920928955078125e-07,1.1299256086349487,-2747.163818359375,5499,-4.617950439453125,476,100.0,57,27500,559147.9375,0.0007
-33251.04095334001,5600,0.0,1.1241252422332764,-3394.989990234375,5599,-4.602607727050781,477,100.0,58,28000,802036.6875,0.0007
-33268.63430617,5700,-1.1920928955078125e-07,1.1236724853515625,-5155.89013671875,5699,-4.6030540466308585,477,100.0,59,28500,1149054.375,0.0007
-33279.37018366,5800,0.0,1.1274099349975586,-3807.010986328125,5799,-4.611959934234619,478,100.0,60,29000,928935.0,0.0007
-33354.785271500004,5900,-1.1920928955078125e-07,1.1286072731018066,-4610.58056640625,5899,-4.616426944732666,478,100.0,61,29500,1109965.875,0.0007
-33352.84693444001,6000,0.0,1.1291685104370115,-3942.499267578125,5999,-4.617889404296875,478,100.0,62,30000,901234.1875,0.0007
-33334.838330829996,6100,1.1920928955078125e-07,1.1327002048492432,-3387.46337890625,6099,-4.624925136566162,479,100.0,63,30500,711770.625,0.0007
-33327.24100671,6200,-1.1920928955078125e-07,1.1252648830413818,-4712.56005859375,6199,-4.607360363006592,479,100.0,64,31000,975342.125,0.0007
-33294.134175809995,6300,-1.1920928955078125e-07,1.125317096710205,-3762.065673828125,6299,-4.605340003967285,480,100.0,65,31500,964915.1875,0.0007
-33315.562423749994,6400,0.0,1.1265950202941897,-3529.30517578125,6399,-4.611104488372803,480,100.0,66,32000,608846.125,0.0007
-33289.51374190001,6500,5.960464477539063e-08,1.123134970664978,-4543.2392578125,6499,-4.6003146171569815,480,100.0,67,32500,1136513.625,0.0007
-33239.02130854,6600,0.0,1.1208791732788086,-3654.68212890625,6599,-4.594848155975342,481,100.0,68,33000,770737.1875,0.0007
-33232.021266769996,6700,-1.1920928955078125e-07,1.1226582527160645,-3283.013671875,6699,-4.598214149475098,481,100.0,69,33500,732004.6875,0.0007
-33152.87950333,6800,0.0,1.129176378250122,-4756.37841796875,6799,-4.618262767791748,481,100.0,70,34000,977842.8125,0.0007
-33127.10162992,6900,-2.384185791015625e-07,1.1284770965576172,-3573.34375,6899,-4.615087985992432,481,100.0,71,34500,858910.125,0.0007
-33024.52500388,7000,0.0,1.133214235305786,-4381.62353515625,6999,-4.628807067871094,482,100.0,72,35000,1051587.125,0.0007
-33027.13048222,7100,0.0,1.1314690113067627,-3889.78515625,7099,-4.6226420402526855,482,100.0,73,35500,1129729.875,0.0007
-33029.584135619996,7200,1.7881393432617188e-07,1.1329468488693235,-3439.567138671875,7199,-4.627063274383545,482,100.0,74,36000,743828.1875,0.0007
-33056.40910484,7300,0.0,1.1336971521377563,-5118.54541015625,7299,-4.6304893493652335,483,100.0,75,36500,1044193.0,0.0007
-33055.19755563,7400,-1.1920928955078125e-07,1.1419533491134644,-3350.379638671875,7399,-4.650901317596436,483,100.0,76,37000,733467.875,0.0007
-33043.26457346,7500,-1.1920928955078125e-07,1.1394171714782717,-3404.411865234375,7499,-4.643307685852051,483,100.0,77,37500,850268.0,0.0007
-33016.33206753,7600,0.0,1.1315344572067259,-3457.212646484375,7599,-4.624480724334717,483,100.0,78,38000,633129.4375,0.0007
-33029.917802590004,7700,0.0,1.139765381813049,-3138.89501953125,7699,-4.645591735839844,484,100.0,79,38500,593767.0,0.0007
-32941.38508211,7800,0.0,1.1419949531555176,-2135.452880859375,7799,-4.650534152984619,484,100.0,80,39000,394270.4375,0.0007
-32807.793010099995,7900,1.1920928955078125e-07,1.1366682052612305,-3580.47265625,7899,-4.639087200164795,484,100.0,81,39500,544347.1875,0.0007
-32785.516052420004,8000,0.0,1.14186429977417,-2794.763916015625,7999,-4.649883270263672,484,100.0,82,40000,590882.5,0.0007
-32773.90500814,8100,-1.1920928955078125e-07,1.150116801261902,-2805.060546875,8099,-4.67030668258667,484,100.0,83,40500,597012.9375,0.0007
-32823.10711695,8200,0.0,1.1505041122436523,-4646.1435546875,8199,-4.673807144165039,485,100.0,84,41000,1029022.1875,0.0007
-32855.99197135,8300,0.0,1.148516058921814,-5180.34765625,8299,-4.670299053192139,485,100.0,85,41500,912092.8125,0.0007
-32868.1961766,8400,0.0,1.1514443159103394,-3298.505859375,8399,-4.675515174865723,485,100.0,86,42000,667180.6875,0.0007
-32974.02145068,8500,1.1920928955078125e-07,1.1461732387542725,-4924.25146484375,8499,-4.663067817687988,485,100.0,87,42500,1176256.625,0.0007
-33025.865110060004,8600,-1.1920928955078125e-07,1.1495578289031982,-4045.978271484375,8599,-4.672619819641113,485,100.0,88,43000,736004.8125,0.0007
-33054.041370030005,8700,1.1920928955078125e-07,1.1451539993286133,-2754.260986328125,8699,-4.657541275024414,485,100.0,89,43500,681070.1875,0.0007
-33099.52787957,8800,0.0,1.1522066593170166,-3848.34375,8799,-4.677505016326903,485,100.0,90,44000,911172.0,0.0007
-33177.2968252,8900,5.960464477539063e-08,1.149362325668335,-3952.06689453125,8899,-4.6717867851257315,485,100.0,91,44500,862665.8125,0.0007
-33315.28947415,9000,-1.1920928955078125e-07,1.1584012508392334,-4717.8076171875,8999,-4.695096015930176,485,100.0,92,45000,1179615.25,0.0007
-33261.27634993999,9100,0.0,1.1617449522018433,-4199.2158203125,9099,-4.70327091217041,484,100.0,93,45500,1060484.0,0.0007
-33227.36068344,9200,1.1920928955078125e-07,1.162926197052002,-2903.92822265625,9199,-4.704576015472412,484,100.0,94,46000,701418.625,0.0007
-33200.031357,9300,-1.1920928955078125e-07,1.1705234050750732,-4830.91748046875,9299,-4.728200912475586,484,100.0,95,46500,891674.0,0.0007
-33171.38093538,9400,0.0,1.1753084659576416,-3856.279052734375,9399,-4.738317966461182,484,100.0,97,47000,709182.1875,0.0007
-33174.283326879995,9500,0.0,1.179187536239624,-3618.310302734375,9499,-4.7452921867370605,484,100.0,98,47500,956319.1875,0.0007
-33145.86186211,9600,5.960464477539063e-08,1.1811378002166748,-3479.98828125,9599,-4.750856399536133,483,100.0,99,48000,865053.625,0.0007
-33193.91395146001,9700,1.1920928955078125e-07,1.1838130950927734,-4527.95166015625,9699,-4.75786018371582,483,100.0,100,48500,1303325.375,0.0007
-33257.245105840004,9800,5.960464477539063e-08,1.1925346851348877,-4163.40673828125,9799,-4.7813682556152335,483,100.0,101,49000,858429.0,0.0007
-33384.738773790006,9900,0.0,1.1925166845321655,-2669.85595703125,9899,-4.779389381408691,483,100.0,102,49500,545636.5,0.0007
-33455.72099103,10000,0.0,1.2037938833236694,-4836.1181640625,9999,-4.80879545211792,483,100.0,103,50000,1262253.625,0.0007
-33467.859477210004,10100,-1.1920928955078125e-07,1.2087891101837158,-5201.2509765625,10099,-4.823718547821045,483,100.0,104,50500,950104.9375,0.0007
