train/std,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,time/iterations,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/policy_loss
1.1404147148132324,-10183.594840120002,3699,35,514,-4.648287296295166,0.0007,0.0,3700,109504.1796875,18500,100.0,-1421.6239013671875
1.1425588130950928,-10186.12980999,3799,36,514,-4.655066967010498,0.0007,1.1920928955078125e-07,3800,109578.125,19000,100.0,-1592.36669921875
1.1475565433502197,-10186.42113078,3899,37,514,-4.664951324462891,0.0007,4.172325134277344e-07,3900,109678.0390625,19500,100.0,-1231.0223388671875
1.1528786420822144,-10196.51424615,3999,38,515,-4.678041458129883,0.0007,4.76837158203125e-07,4000,109020.9296875,20000,100.0,-1340.152587890625
1.1651334762573242,-10198.08686953,4099,39,515,-4.70736026763916,0.0007,0.0,4100,108768.578125,20500,100.0,-1137.5887451171875
1.1705222129821777,-10196.405288,4199,40,515,-4.720929145812988,0.0007,-1.1920928955078125e-07,4200,109049.3515625,21000,100.0,-1183.0291748046875
1.175555944442749,-10195.292163490001,4299,41,515,-4.736033916473389,0.0007,0.0,4300,109284.9921875,21500,100.0,-1413.3050537109375
1.1786669492721558,-10189.683403850002,4399,42,515,-4.742164611816406,0.0007,0.0,4400,108209.9296875,22000,100.0,-1386.078857421875
1.188663363456726,-10180.963180510002,4499,43,515,-4.766706943511963,0.0007,0.0,4500,107575.8984375,22500,100.0,-1448.7098388671875
1.1934537887573242,-10171.192620870002,4599,44,516,-4.777032375335693,0.0007,0.0,4600,107341.4609375,23000,100.0,-1326.7249755859375
1.1970241069793701,-10158.83425353,4699,45,516,-4.784546852111816,0.0007,0.0,4700,108767.703125,23500,100.0,-1353.841796875
1.2005637884140015,-10153.794488470001,4799,46,516,-4.793607234954834,0.0007,-1.1920928955078125e-07,4800,108362.7890625,24000,100.0,-1344.3328857421875
1.2075059413909912,-10157.08917923,4899,47,516,-4.809525489807129,0.0007,1.7881393432617188e-07,4900,108085.265625,24500,100.0,-1256.072998046875
1.2131388187408447,-10151.197267400003,4999,48,516,-4.824923038482666,0.0007,1.1920928955078125e-07,5000,108204.8046875,25000,100.0,-1430.563232421875
1.2324156761169434,-10149.39977801,5099,49,516,-4.871222972869873,0.0007,-1.1920928955078125e-07,5100,108519.9921875,25500,100.0,-1278.1907958984375
1.2360374927520752,-10146.292259490001,5199,50,516,-4.883440017700195,0.0007,0.0,5200,108421.1171875,26000,100.0,-1569.1552734375
1.2402992248535156,-10145.41884137,5299,51,516,-4.896132946014404,0.0007,-2.384185791015625e-07,5300,108297.140625,26500,100.0,-1799.2333984375
1.2438961267471313,-10147.64172641,5399,52,516,-4.900893688201904,0.0007,0.0,5400,108231.0,27000,100.0,-1181.119140625
1.251428484916687,-10147.30936649,5499,53,517,-4.919061660766602,0.0007,1.1920928955078125e-07,5500,107435.7734375,27500,100.0,-1339.380859375
1.2541192770004272,-10150.95406304,5599,54,517,-4.9249267578125,0.0007,0.0,5600,107720.625,28000,100.0,-1214.235595703125
1.2463734149932861,-10146.8542467,5699,55,517,-4.909852027893066,0.0007,1.1920928955078125e-07,5700,106587.5625,28500,100.0,-1582.3441162109375
1.2479374408721924,-10140.61463864,5799,56,517,-4.912473678588867,0.0007,1.7881393432617188e-07,5800,107414.1484375,29000,100.0,-1452.974853515625
1.2541747093200684,-10134.60305249,5899,57,517,-4.927037715911865,0.0007,0.0,5900,106293.078125,29500,100.0,-1402.2825927734375
1.2557423114776611,-10130.78508946,5999,57,517,-4.93050479888916,0.0007,0.0,6000,106597.125,30000,100.0,-1328.6484375
1.256879210472107,-10131.13917264,6099,58,517,-4.935214996337891,0.0007,0.0,6100,106690.015625,30500,100.0,-1760.1578369140625
1.2684215307235718,-10121.92586934,6199,59,517,-4.962566375732422,0.0007,1.7881393432617188e-07,6200,104343.0703125,31000,100.0,-1724.3494873046875
1.2793196439743042,-10118.818179189999,6299,60,517,-4.985469341278076,0.0007,0.0,6300,106800.265625,31500,100.0,-1445.8441162109375
1.2892804145812988,-10112.912283970001,6399,61,517,-5.005001068115234,0.0007,0.0,6400,104665.28125,32000,100.0,-1253.5194091796875
1.2998759746551514,-10115.78763721,6499,62,517,-5.027500152587891,0.0007,0.0,6500,105991.25,32500,100.0,-1399.314208984375
1.2982263565063477,-10113.53546804,6599,63,517,-5.023956298828125,0.0007,-1.1920928955078125e-07,6600,106500.703125,33000,100.0,-1426.9984130859375
1.3032817840576172,-10120.6492539,6699,64,518,-5.034139633178711,0.0007,0.0,6700,106573.9296875,33500,100.0,-1575.4259033203125
1.310221791267395,-10123.446199470001,6799,65,518,-5.049720287322998,0.0007,2.980232238769531e-07,6800,106324.3125,34000,100.0,-1451.219970703125
1.3141436576843262,-10122.09195023,6899,66,518,-5.0610504150390625,0.0007,0.0,6900,106118.6484375,34500,100.0,-1642.681884765625
1.3179419040679932,-10123.545553259999,6999,67,518,-5.06901741027832,0.0007,0.0,7000,106036.5234375,35000,100.0,-1443.460205078125
1.3155195713043213,-10120.59832403,7099,68,518,-5.063515663146973,0.0007,4.172325134277344e-07,7100,106042.078125,35500,100.0,-1306.0570068359375
