time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss
217,33200,100.0,-16587.5730091,111793.76526245117,152,332,0.001,33000,3782.718193359375
219,33600,100.0,-16531.928389279998,129891.230201416,152,336,0.001,33400,3825.7365991210936
222,34000,100.0,-16455.19162986,114565.51692504885,152,340,0.001,33800,3815.801418457031
224,34400,100.0,-16332.02413203,102343.5735961914,152,344,0.001,34200,3831.3376928710936
227,34800,100.0,-16207.051447080004,130989.7987512207,152,348,0.001,34600,3832.89994140625
230,35200,100.0,-16136.085350840005,136028.55348266606,152,352,0.001,35000,3853.482941894532
232,35600,100.0,-16108.84738083,93862.39561767578,152,356,0.001,35400,3864.874509277344
235,36000,100.0,-16071.506934340005,92929.74223876953,152,360,0.001,35800,3908.803095703125
238,36400,100.0,-16060.135441990002,100422.49266967774,152,364,0.001,36200,3912.277426757813
240,36800,100.0,-16034.78755483,132231.81885986327,152,368,0.001,36600,3916.59123046875
243,37200,100.0,-15983.51700921,119665.43707519534,152,372,0.001,37000,3930.398471679688
246,37600,100.0,-15970.25785669,119490.58868041993,152,376,0.001,37400,3948.035302734375
248,38000,100.0,-15927.76578448,112079.60360229493,152,380,0.001,37800,3949.058293457031
251,38400,100.0,-15902.6904203,120379.33347839356,152,384,0.001,38200,3956.404091796875
253,38800,100.0,-15884.4836589,118911.82292724607,152,388,0.001,38600,3979.560986328125
256,39200,100.0,-15907.10268648,118407.38000976562,152,392,0.001,39000,3971.0600634765615
259,39600,100.0,-15907.750462919998,107964.55074768068,152,396,0.001,39400,3965.107583007813
261,40000,100.0,-15929.276080299998,117482.30826049804,152,400,0.001,39800,3951.645849609375
264,40400,100.0,-15937.76402328,121328.46230834961,152,404,0.001,40200,3965.0158764648436
267,40800,100.0,-15945.223933909998,115523.95350952148,152,408,0.001,40600,3995.535192871094
269,41200,100.0,-15927.16192605,124279.87866455078,152,412,0.001,41000,3986.835112304687
272,41600,100.0,-15958.01861911,116784.65683105467,152,416,0.001,41400,3974.107348632812
274,42000,100.0,-15954.40400448,96431.41503051756,152,420,0.001,41800,3980.2511596679688
277,42400,100.0,-15961.40417537,133891.33865600586,152,424,0.001,42200,3955.968483886719
280,42800,100.0,-15955.538449420004,106106.60129943848,152,428,0.001,42600,3968.9708276367187
282,43200,100.0,-15940.79533613,119427.16618041992,152,432,0.001,43000,3961.483559570313
285,43600,100.0,-15931.290401080003,105223.81046936037,152,436,0.001,43400,3992.0674853515625
288,44000,100.0,-15938.47814622,112019.39842834472,152,440,0.001,43800,3953.4896948242185
290,44400,100.0,-15956.909921849998,121755.85797241212,152,444,0.001,44200,3956.1805981445314
293,44800,100.0,-15973.600910710004,115723.71399841306,152,448,0.001,44600,3950.808015136719
295,45200,100.0,-15972.875424450003,111046.43797729492,152,452,0.001,45000,3951.530493164063
298,45600,100.0,-15951.08006759,100545.46716918943,152,456,0.001,45400,3950.747292480469
301,46000,100.0,-15950.84518404,101206.55619140627,152,460,0.001,45800,3954.369387207031
303,46400,100.0,-15931.75700234,105821.47188659669,152,464,0.001,46200,3972.6311645507812
306,46800,100.0,-15925.37883811,91504.2872692871,152,468,0.001,46600,3977.8353442382813
308,47200,100.0,-15933.91483793,118646.8026196289,152,472,0.001,47000,3961.541184082031
311,47600,100.0,-15929.09259304,114058.46717041015,152,476,0.001,47400,3956.328503417969
314,48000,100.0,-15939.05777029,112063.71816528321,152,480,0.001,47800,3964.5594677734375
316,48400,100.0,-15999.994429710005,138343.2324005127,152,484,0.001,48200,3960.9176586914064
319,48800,100.0,-15986.10518627,125568.43373413086,152,488,0.001,48600,3952.723637695312
321,49200,100.0,-16008.865380889994,106081.40105529787,152,492,0.001,49000,3954.885278320312
324,49600,100.0,-15990.618723820004,137276.09474609376,152,496,0.001,49400,3952.8177270507813
327,50000,100.0,-15957.53861164,118926.86904418946,152,500,0.001,49800,3940.3852099609376
329,50400,100.0,-15954.249649639998,102617.41093139649,152,504,0.001,50200,3965.319470214844
332,50800,100.0,-15952.859800019998,140920.90220336913,152,508,0.001,50600,3947.6144165039054
335,51200,100.0,-15951.495602110002,121649.34082763671,152,512,0.001,51000,3946.345825195313
337,51600,100.0,-15919.67897249,112874.9952618408,152,516,0.001,51400,3943.109279785156
340,52000,100.0,-15920.94602265,112853.4187298584,152,520,0.001,51800,3940.8710083007813
342,52400,100.0,-15934.832336420002,121687.15717773438,152,524,0.001,52200,3930.7815795898437
345,52800,100.0,-15934.326426199998,112828.72587524414,152,528,0.001,52600,3912.7337036132812
348,53200,100.0,-15918.31459698,122433.3843701172,152,532,0.001,53000,3916.276362304688
350,53600,100.0,-15948.35504583,112761.73510864258,152,536,0.001,53400,3912.588442382813
353,54000,100.0,-15942.531945820003,123337.609140625,152,540,0.001,53800,3909.071794433594
356,54400,100.0,-15981.00094304,111815.5724597168,152,544,0.001,54200,3908.350615234375
358,54800,100.0,-15987.53121917,119233.576595459,152,548,0.001,54600,3922.732087402344
361,55200,100.0,-15997.64466956,109538.6952331543,152,552,0.001,55000,3896.125825195313
363,55600,100.0,-16051.28417957,122124.09876831055,152,556,0.001,55400,3914.5716381835937
366,56000,100.0,-16136.66631982,113150.84779052735,152,560,0.001,55800,3903.513034667969
369,56400,100.0,-16258.96655276,106138.73020568848,152,564,0.001,56200,3900.9734375
371,56800,100.0,-16349.84249792,132003.85485290526,152,568,0.001,56600,3876.538095703125
374,57200,100.0,-16429.076427530003,98528.87834228516,152,572,0.001,57000,3882.7681176757815
376,57600,100.0,-16520.29749415,112265.75505004883,152,576,0.001,57400,3866.5981713867186
379,58000,100.0,-16580.106655760002,118858.94875366213,152,580,0.001,57800,3871.037687988281
382,58400,100.0,-16560.81487908,81472.51669067383,152,584,0.001,58200,3885.846381835937
384,58800,100.0,-16591.835864490007,101389.41887451171,152,588,0.001,58600,3903.2512133789055
387,59200,100.0,-16620.74817159,117242.03791381836,152,592,0.001,59000,3875.1992578125
389,59600,100.0,-16653.93509902,118917.72640014648,152,596,0.001,59400,3878.3123291015627
392,60000,100.0,-16685.11802994,97883.37303833007,152,600,0.001,59800,3891.1346484375
395,60400,100.0,-16696.252910130002,116264.83975952148,152,604,0.001,60200,3886.490654296875
397,60800,100.0,-16735.634039750003,95388.85697998047,152,608,0.001,60600,3889.0639892578133
400,61200,100.0,-16747.75352166,137313.26362060546,152,612,0.001,61000,3858.137729492188
403,61600,100.0,-16780.933719409994,96611.39360717773,152,616,0.001,61400,3828.806657714844
405,62000,100.0,-16809.272008989996,88294.34606689453,152,620,0.001,61800,3818.6218920898436
408,62400,100.0,-16856.02502039,101237.9045300293,152,624,0.001,62200,3798.5374755859375
410,62800,100.0,-16894.88985434,116406.5668798828,152,628,0.001,62600,3773.2530541992187
413,63200,100.0,-16959.93087884,88311.88930541993,152,632,0.001,63000,3709.9193920898438
416,63600,100.0,-16998.8362098,111111.22660644533,152,636,0.001,63400,3649.186118164063
418,64000,100.0,-17076.31113047,105441.56564331056,152,640,0.001,63800,3606.674448242187
421,64400,100.0,-17085.23618739,89255.5612475586,152,644,0.001,64200,3574.868017578125
423,64800,100.0,-17113.40166925,105148.92682128906,152,648,0.001,64600,3548.26037109375
426,65200,100.0,-17128.433928470004,96217.74392089844,152,652,0.001,65000,3555.520249023437
429,65600,100.0,-17101.688707270005,108823.6716003418,152,656,0.001,65400,3527.0723120117186
431,66000,100.0,-17047.64998247,99348.75362609864,152,660,0.001,65800,3547.380629882813
434,66400,100.0,-16938.70548061,101150.84210327148,152,664,0.001,66200,3549.7675708007814
